ym,census_mean,census_p95,occ_mean,occ_p95,edwin_mean,nedocs_mean,readi_mean,board_mean,arr_per_hr,awt_curr_min,visits,arr_per_day,bed_med_min,icu_med_min
2020-01,34.78763440860215,54.0,86.96908602150538,135.0,1.3611862521778892,543.9832831606057,5.88853374892906,13.821236559139784,8.603494623655914,350.0315860215054,6406,206.48387096774195,338.5,306.0
2020-02,22.982758620689655,36.25,57.456896551724135,90.625,0.733288543115639,267.8144212909826,3.9927557943564276,9.591954022988507,6.091954022988506,272.83620689655174,4246,146.20689655172413,284.0,176.0
2020-03,17.826612903225808,27.0,44.56653225806452,67.5,0.5016128999651762,347.4791931068422,3.0473719632427967,7.336021505376344,4.748655913978495,309.6263440860215,3525,113.96774193548387,244.0,156.5
2020-04,15.915277777777778,26.0,39.78819444444444,65.0,0.44205224584830577,188.7117182766522,2.9212112738739164,6.273611111111111,4.666666666666667,248.67291666666668,3361,112.0,227.0,182.0
2020-05,18.600806451612904,28.850000000000023,46.502016129032256,72.12500000000006,0.5410683263183347,286.9694783759706,3.352917661842529,7.266129032258065,5.200268817204301,243.86962365591398,3873,124.80645161290323,247.0,160.0
2020-06,22.770833333333332,32.0,56.927083333333336,80.0,0.686281932518939,436.39011092418394,3.9214738523121695,8.897222222222222,5.9527777777777775,255.8701388888889,4285,142.86666666666667,263.0,200.0
2020-07,24.11962365591398,36.0,60.299059139784944,90.0,0.7947767721619097,302.9553925839908,4.074579390776665,10.48521505376344,5.958333333333333,299.51075268817203,4431,143.0,299.0,157.0
2020-08,23.217741935483872,32.0,58.04435483870968,80.0,0.7294106727688557,287.87986470830805,3.9689727550762197,9.673387096774194,6.036290322580645,272.1666666666667,4488,144.8709677419355,283.0,168.5
2020-09,23.5125,35.0,58.78125,87.5,0.7205712624374333,244.1088883361473,4.167115729154258,8.61111111111111,6.3277777777777775,241.31041666666667,4563,151.86666666666667,252.0,189.5
2020-10,26.044354838709676,38.0,65.11088709677419,95.0,0.8700683578435685,473.4929045582217,4.455052905870167,10.799731182795698,6.532258064516129,292.65389784946234,4859,156.7741935483871,311.5,159.5
2020-11,23.12638888888889,37.0,57.81597222222222,92.5,0.7524161491493889,430.6830015939057,4.0952903797396925,9.758333333333333,6.105555555555555,301.8041666666667,4394,146.53333333333333,283.0,202.0
2020-12,21.97043010752688,32.0,54.92607526881721,80.0,0.6743821407612357,329.91108611098144,3.8347763272804105,8.919354838709678,5.684139784946237,266.84879032258067,4229,136.4193548387097,284.0,191.0
2021-01,22.606182795698924,35.0,56.51545698924731,87.5,0.7203079012754732,300.1369947384187,3.9737136607618386,9.44489247311828,5.94758064516129,281.0221774193548,4430,142.74193548387098,276.0,226.0
2021-02,21.446428571428573,32.0,53.61607142857143,80.0,0.6315582197540289,254.51586270760112,3.926818095475193,7.998511904761905,6.166666666666667,232.57440476190476,4144,148.0,240.0,187.0
2021-03,20.99462365591398,31.0,52.486559139784944,77.5,0.6285296353682361,272.1599792415542,3.7074761071423854,8.431451612903226,5.713709677419355,253.9018817204301,4251,137.1290322580645,257.0,196.0
2021-04,22.240277777777777,32.0,55.60069444444444,80.0,0.712282360318236,304.5747516220453,3.9502986658426904,10.058333333333334,5.955555555555556,258.4263888888889,4286,142.93333333333334,282.0,202.0
2021-05,20.033602150537636,34.0,50.08400537634409,85.0,0.5717009098903799,232.33588365972642,3.7294982193946926,8.106182795698924,6.387096774193548,239.2311827956989,4747,153.29032258064515,240.0,172.0
2021-06,23.720833333333335,40.0,59.302083333333336,100.0,0.8203962474973323,402.12147097805115,3.8223340139131197,12.1,5.627777777777778,386.1125,4051,135.06666666666666,316.0,323.0
2021-07,24.561827956989248,37.0,61.40456989247312,92.5,0.816370039519053,390.11522850629444,3.9786103415750618,11.083333333333334,5.739247311827957,335.41599462365593,4270,137.74193548387098,315.0,284.0
2021-08,21.112903225806452,32.0,52.78225806451613,80.0,0.6599682222113645,257.2823959587943,3.5792731434017715,9.440860215053764,5.279569892473118,289.23790322580646,3929,126.70967741935483,314.0,182.5
2021-09,23.56388888888889,35.0,58.90972222222222,87.5,0.7468914226300614,277.8105604960605,3.9583201398091084,10.483333333333333,5.9625,288.21180555555554,4299,143.10000000000002,317.0,189.0
2021-10,23.482526881720432,35.0,58.70631720430107,87.5,0.7338685812051591,334.3858722962669,3.999354627146693,9.881720430107526,6.118279569892473,276.3514784946237,4552,146.83870967741936,315.0,193.0
2021-11,23.816666666666666,35.0,59.541666666666664,87.5,0.7456679902984826,300.95506961730183,4.046365809688438,9.718055555555555,6.0777777777777775,280.55625,4372,145.86666666666667,296.0,168.0
2021-12,20.798387096774192,32.0,51.99596774193548,80.0,0.6235606331842534,250.4207699025878,3.770072293767714,8.334677419354838,5.856182795698925,239.47110215053763,4359,140.5483870967742,277.0,177.0
2022-01,21.251344086021504,33.0,53.12836021505376,82.5,0.663031955103776,238.26978504932856,4.014879601385237,9.00268817204301,6.686827956989247,245.4616935483871,4972,160.48387096774192,272.0,182.0
2022-02,22.06845238095238,35.0,55.17113095238095,87.5,0.6729538177617648,233.72371891582247,4.022438591200161,9.075892857142858,6.625,241.86458333333334,4453,159.0,266.0,193.0
2022-03,22.708333333333332,35.0,56.770833333333336,87.5,0.6914825216321624,238.71822815811586,4.015108360756402,8.920698924731182,6.25,241.690188172043,4649,150.0,271.5,189.0
2022-04,26.49861111111111,45.049999999999955,66.24652777777777,112.62499999999989,0.8257425358344161,293.1215537566329,4.965941506592539,9.991666666666667,8.879166666666666,290.57152777777776,6403,213.1,270.0,182.5
2022-05,30.758064516129032,66.85000000000002,76.89516129032258,167.12500000000006,0.923693015310377,356.00369937600175,6.952811685442439,11.53225806451613,15.048387096774194,326.80040322580646,11193,361.16129032258067,304.0,233.0
2022-06,25.56111111111111,38.0,63.90277777777778,95.0,0.9659973474829819,341.40099502331566,4.63893789633486,13.194444444444445,7.215277777777778,342.62083333333334,5190,173.16666666666666,300.0,288.5
2022-07,23.5,36.0,58.75,90.0,0.778218002136206,302.78750246642704,4.331787085427311,10.78494623655914,6.80241935483871,274.8891129032258,5058,163.25806451612902,288.5,237.0
