ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2024-08-01 00:00:00,0,39,1,7,31,0,0,6,28,0,28,0,53.48333333333333,933.5,3.0,6.95,97.5,3.5,740.501,5.939153292750415,0.975,0.8633093525179856,3.230769230769231
2024-08-01 01:00:00,1,37,1,8,27,1,0,5,28,0,28,0,54.48333333333333,993.5,3.0,6.95,92.5,3.333333333333333,741.851,5.333268520318881,0.925,0.7194244604316546,3.2432432432432434
2024-08-01 02:00:00,2,36,1,7,27,1,0,6,27,0,27,0,55.48333333333333,1058.0,3.0,6.95,90.0,2.9743589743589745,731.9459999999999,5.681774580335731,0.9,0.8633093525179856,3.2222222222222223
2024-08-01 03:00:00,3,32,1,6,25,0,0,4,26,0,26,0,56.48333333333333,1139.5,3.0,6.95,80.0,2.4761904761904763,715.606,4.470503597122303,0.8,0.5755395683453237,3.25
2024-08-01 04:00:00,4,33,1,6,26,0,0,2,26,0,26,0,57.48333333333333,1199.5,3.0,6.95,82.5,2.5476190476190474,723.3910000000001,3.608071724438631,0.825,0.2877697841726618,3.242424242424242
2024-08-01 05:00:00,5,32,1,7,24,0,0,1,27,0,27,0,58.48333333333333,1238.0,3.0,6.95,80.0,2.6923076923076925,740.2860000000001,3.0971223021582737,0.8,0.1438848920863309,3.28125
2024-08-01 06:00:00,6,31,1,7,23,0,0,1,27,0,27,0,59.48333333333333,1298.0,3.0,6.95,77.5,2.6153846153846154,743.781,3.0234277094453472,0.775,0.1438848920863309,3.290322580645161
2024-08-01 07:00:00,7,32,1,7,23,1,0,3,27,0,27,0,60.48333333333333,1358.0,3.0,6.95,80.0,2.6666666666666665,751.566,4.002877697841726,0.8,0.4316546762589928,3.25
2024-08-01 08:00:00,8,34,1,8,25,0,0,5,28,0,28,0,61.48333333333333,1413.5,3.0,6.43,85.0,3.111111111111111,774.896,5.361522276095508,0.85,0.7776049766718507,3.294117647058824
2024-08-01 09:00:00,9,41,2,9,29,1,0,9,30,0,30,0,62.48333333333333,1386.0,3.0,6.43,102.5,4.5,822.351,7.983731934908773,1.025,1.3996889580093312,3.292682926829268
2024-08-01 10:00:00,10,46,2,9,33,2,0,10,30,0,30,0,57.63333333333333,1357.0,4.0,9.75,115.0,3.725,805.722,7.047185061315496,1.15,1.0256410256410255,3.239130434782609
2024-08-01 11:00:00,11,48,2,8,36,2,0,9,29,0,29,0,48.91666666666666,1219.0,4.0,9.75,120.0,3.5,747.45,6.811538461538462,1.2,0.9230769230769232,3.208333333333333
2024-08-01 12:00:00,12,47,2,10,34,1,0,9,28,0,28,0,49.91666666666666,1019.5,4.0,9.75,117.5,3.208333333333333,737.545,6.87454991816694,1.175,0.9230769230769232,3.276595744680851
2024-08-01 13:00:00,13,48,3,12,30,3,0,11,30,1,31,1,50.91666666666666,879.0,4.0,9.75,120.0,4.416666666666667,786.3983068017366,7.712179487179486,1.2,1.1282051282051282,3.3125
2024-08-01 14:00:00,14,40,1,9,27,3,0,5,24,1,25,1,51.91666666666666,574.0,4.0,9.75,100.0,2.1333333333333333,694.4783068017366,4.841025641025642,1.0,0.5128205128205128,3.2
2024-08-01 15:00:00,15,42,1,11,27,3,0,9,27,2,29,2,52.91666666666666,398.0,4.0,9.75,105.0,3.090909090909091,758.8766136034733,6.389010989010989,1.05,0.9230769230769232,3.238095238095238
2024-08-01 16:00:00,16,42,3,12,24,3,0,7,25,2,27,2,42.88333333333333,445.0,4.0,9.75,105.0,2.7115384615384617,675.4886136034733,5.93525641025641,1.05,0.717948717948718,3.357142857142857
2024-08-01 17:00:00,17,39,3,10,23,3,0,5,25,1,26,1,43.88333333333333,511.5,4.0,9.75,97.5,2.321428571428572,660.4253068017366,4.9594017094017095,0.975,0.5128205128205128,3.333333333333333
2024-08-01 18:00:00,18,43,3,11,22,5,2,9,27,1,28,1,44.88333333333333,558.0,4.0,9.75,107.5,2.8541666666666665,701.4453068017366,6.365966010733453,1.075,0.9230769230769232,3.186046511627907
2024-08-01 19:00:00,19,46,3,14,22,4,3,9,27,1,28,1,45.88333333333333,618.0,4.0,9.75,115.0,3.083333333333333,713.5203068017365,6.669899665551839,1.15,0.9230769230769232,3.217391304347826
2024-08-01 20:00:00,20,42,3,13,18,5,3,2,26,1,27,1,46.88333333333333,685.0,4.0,11.71,105.0,2.576923076923077,697.1803068017366,3.894914806229922,1.05,0.1707941929974381,3.1904761904761907
2024-08-01 21:00:00,21,50,3,12,23,9,3,12,27,1,28,1,47.88333333333333,714.5,4.0,11.71,125.0,3.1875,733.3803068017365,6.960781383432964,1.25,1.0247651579846284,3.06
2024-08-01 22:00:00,22,43,3,11,19,7,3,6,26,3,29,3,48.88333333333333,602.0,3.0,8.39,107.5,4.03030303030303,739.1419204052099,5.536935582226904,1.075,0.7151370679380215,3.0930232558139537
2024-08-01 23:00:00,23,44,3,10,21,9,1,7,24,2,26,2,49.88333333333333,774.5,3.0,8.39,110.0,3.261904761904762,705.8586136034733,6.022789576335464,1.1,0.8343265792610249,3.113636363636364
2024-08-02 00:00:00,0,42,2,10,20,9,1,5,24,2,26,2,50.88333333333333,834.5,3.0,8.39,105.0,3.071428571428572,707.2086136034732,5.055410352460412,1.05,0.5959475566150179,3.071428571428572
2024-08-02 01:00:00,1,45,2,10,25,7,1,6,24,2,26,2,51.88333333333333,894.5,3.0,8.39,112.5,3.333333333333333,719.2836136034732,5.7248708780294,1.125,0.7151370679380215,3.111111111111111
2024-08-02 02:00:00,2,46,2,11,25,7,1,7,25,1,26,1,52.88333333333333,954.5,3.0,8.39,115.0,3.4285714285714284,726.2003068017366,6.211804943773643,1.15,0.8343265792610249,3.130434782608696
2024-08-02 03:00:00,3,45,3,11,24,6,1,4,25,1,26,1,53.88333333333333,1014.5,3.0,8.39,112.5,3.4285714285714284,729.6953068017367,5.125625744934446,1.125,0.4767580452920142,3.2
2024-08-02 04:00:00,4,43,3,11,22,6,1,1,25,1,26,1,54.88333333333333,1074.5,3.0,8.39,107.5,3.2857142857142856,731.0453068017366,3.8325151758738247,1.075,0.1191895113230035,3.2093023255813957
2024-08-02 05:00:00,5,43,3,11,22,6,1,1,25,1,26,1,55.88333333333333,1134.5,3.0,8.39,107.5,3.2857142857142856,736.6853068017366,3.8325151758738247,1.075,0.1191895113230035,3.2093023255813957
2024-08-02 06:00:00,6,42,3,12,21,5,1,2,26,1,27,1,56.88333333333333,1165.0,3.0,8.39,105.0,3.5128205128205128,753.5803068017367,4.202569669107214,1.05,0.2383790226460071,3.261904761904762
2024-08-02 07:00:00,7,44,3,14,21,5,1,5,26,2,28,2,57.88333333333333,1183.5,3.0,8.39,110.0,4.027777777777778,777.7786136034732,5.5889180842994906,1.1,0.5959475566150179,3.2954545454545454
2024-08-02 08:00:00,8,43,3,14,21,5,0,4,26,3,29,3,58.88333333333333,1202.0,3.0,7.029999999999999,107.5,4.363636363636363,795.5419204052098,5.505455026630057,1.075,0.5689900426742532,3.3488372093023258
2024-08-02 09:00:00,9,45,4,11,25,5,0,5,27,3,30,3,59.88333333333333,1207.5,3.0,7.029999999999999,112.5,4.966666666666667,818.8719204052097,6.079986565512881,1.125,0.7112375533428166,3.311111111111111
2024-08-02 10:00:00,10,51,3,13,30,5,0,11,28,3,31,3,50.35,1185.0,4.0,10.12,127.5,4.638888888888889,791.3739204052099,7.73424978687127,1.275,1.0869565217391306,3.2745098039215685
2024-08-02 11:00:00,11,55,2,13,31,9,0,13,26,5,31,5,51.35,849.0,4.0,10.12,137.5,4.805555555555555,807.3305340086831,8.365603665109594,1.375,1.2845849802371545,3.145454545454545
2024-08-02 12:00:00,12,50,2,12,26,10,0,9,24,5,29,5,52.35,725.0,4.0,10.12,125.0,3.5454545454545454,775.4455340086831,6.674703557312254,1.25,0.8893280632411068,3.12
2024-08-02 13:00:00,13,47,2,12,23,10,0,7,22,5,27,5,38.65,475.0,4.0,10.12,117.5,2.826923076923077,664.9425340086831,5.838400891430494,1.175,0.691699604743083,3.127659574468085
2024-08-02 14:00:00,14,47,1,10,27,9,0,11,21,5,26,5,29.633333333333333,268.0,4.0,10.12,117.5,2.571428571428572,600.6885340086831,6.930249768732655,1.175,1.0869565217391306,3.0638297872340425
2024-08-02 15:00:00,15,46,1,8,29,8,0,7,21,5,26,5,30.633333333333333,328.0,4.0,10.12,115.0,2.5,604.1835340086831,5.605172710087644,1.15,0.691699604743083,3.0434782608695654
2024-08-02 16:00:00,16,42,3,5,28,6,0,10,20,4,24,4,31.416666666666668,337.5,4.0,10.12,105.0,2.046875,572.3532272069465,6.357062864671561,1.05,0.9881422924901186,3.119047619047619
2024-08-02 17:00:00,17,45,3,5,32,5,0,10,23,4,27,4,32.416666666666664,386.0,4.0,10.12,112.5,2.7115384615384617,624.6282272069463,6.621179183135705,1.125,0.9881422924901186,3.1333333333333333
2024-08-02 18:00:00,18,47,4,4,34,5,0,8,22,4,26,4,33.416666666666664,440.5,4.0,10.12,117.5,2.642857142857143,621.1582272069465,6.189277604911278,1.175,0.790513833992095,3.148936170212766
2024-08-02 19:00:00,19,38,3,4,27,4,0,4,20,3,23,3,28.75,359.0,4.0,10.12,95.0,1.7647058823529411,534.4649204052098,4.248179737882255,0.95,0.3952569169960475,3.1578947368421053
2024-08-02 20:00:00,20,39,2,4,28,5,0,10,20,3,23,3,29.75,419.0,4.0,10.84,97.5,1.7647058823529411,542.2499204052098,5.838489923360773,0.975,0.922509225092251,3.076923076923077
2024-08-02 21:00:00,21,38,3,4,28,3,0,8,20,3,23,3,30.75,469.0,4.0,10.84,95.0,1.7794117647058822,545.7449204052098,5.374970868129734,0.95,0.7380073800738007,3.1842105263157894
2024-08-02 22:00:00,22,46,3,5,35,3,0,15,22,3,25,3,31.75,442.0,3.0,7.75,115.0,3.2444444444444445,595.3449204052099,9.793057503506311,1.15,1.935483870967742,3.1739130434782608
2024-08-02 23:00:00,23,50,3,5,38,4,0,10,25,3,28,3,32.75,422.5,3.0,7.75,125.0,4.361111111111111,649.7649204052098,7.976612903225805,1.25,1.2903225806451613,3.14
2024-08-03 00:00:00,0,51,3,6,38,4,0,12,25,3,28,3,33.75,482.5,3.0,7.75,127.5,4.472222222222222,657.5499204052098,8.913045540796963,1.275,1.5483870967741935,3.156862745098039
2024-08-03 01:00:00,1,53,3,6,37,7,0,12,25,3,28,3,34.75,542.5,3.0,7.75,132.5,4.555555555555555,667.4799204052098,8.89123554473524,1.325,1.5483870967741935,3.0943396226415096
2024-08-03 02:00:00,2,43,3,6,31,3,0,5,25,2,27,2,35.75,594.0,3.0,7.75,107.5,3.5384615384615383,637.4016136034733,5.520517629407352,1.075,0.6451612903225806,3.2093023255813957
2024-08-03 03:00:00,3,40,3,7,27,3,0,4,26,2,28,2,36.75,644.5,3.0,7.75,100.0,3.611111111111111,650.0066136034732,4.92741935483871,1.0,0.5161290322580645,3.25
2024-08-03 04:00:00,4,36,3,7,24,2,0,0,26,2,28,2,37.75,704.5,3.0,7.75,90.0,3.305555555555556,647.0666136034732,2.975,0.9,0.0,3.305555555555556
2024-08-03 05:00:00,5,38,3,7,26,2,0,2,26,2,28,2,38.75,764.5,3.0,7.75,95.0,3.4722222222222223,656.9966136034732,3.973896434634974,0.95,0.2580645161290322,3.289473684210526
2024-08-03 06:00:00,6,39,3,7,25,4,0,3,26,2,28,2,39.75,824.5,3.0,7.75,97.5,3.5,664.7816136034733,4.400620347394541,0.975,0.3870967741935484,3.230769230769231
2024-08-03 07:00:00,7,35,3,7,23,2,0,2,27,2,29,2,40.75,875.0,3.0,7.75,87.5,3.515151515151515,675.2416136034733,3.7552995391705073,0.875,0.2580645161290322,3.3142857142857145
2024-08-03 08:00:00,8,38,3,8,25,2,0,4,27,2,29,2,41.75,935.0,3.0,7.21,95.0,3.8181818181818175,687.3166136034732,4.989550332141032,0.95,0.5547850208044383,3.3157894736842106
2024-08-03 09:00:00,9,36,3,6,23,4,0,3,24,2,26,2,42.75,1022.5,3.0,7.21,90.0,2.761904761904762,648.4666136034732,4.24073046694406,0.9,0.4160887656033287,3.2222222222222223
2024-08-03 10:00:00,10,38,2,6,24,6,0,6,23,2,25,2,43.75,1091.0,4.0,10.67,95.0,1.9666666666666663,644.9966136034732,4.696164849800227,0.95,0.5623242736644799,3.1052631578947367
2024-08-03 11:00:00,11,38,2,7,25,4,0,8,24,2,26,2,44.75,1124.5,4.0,10.67,95.0,2.1607142857142856,664.0366136034733,5.412411828540424,0.95,0.7497656982193065,3.1842105263157894
2024-08-03 12:00:00,12,40,1,8,24,7,0,13,22,2,24,2,45.75,1033.0,4.0,10.67,100.0,1.921875,647.1666136034733,6.821485473289597,1.0,1.218369259606373,3.075
2024-08-03 13:00:00,13,42,1,7,31,2,1,13,21,2,23,2,39.1,921.0,4.0,10.67,105.0,1.9264705882352944,600.5506136034733,7.075151738296069,1.05,1.218369259606373,3.119047619047619
2024-08-03 14:00:00,14,35,1,5,27,2,0,6,22,1,23,1,40.1,950.0,4.0,10.67,87.5,1.6176470588235294,590.3073068017366,4.517304860088365,0.875,0.5623242736644799,3.142857142857143
2024-08-03 15:00:00,15,26,0,6,18,2,0,7,16,0,16,0,41.1,866.5,4.0,10.67,65.0,0.8541666666666666,481.9740000000001,4.1190649556628935,0.65,0.6560449859418932,3.1538461538461537
2024-08-03 16:00:00,16,33,0,8,23,2,0,13,21,0,21,0,42.1,315.0,4.0,10.67,82.5,1.381578947368421,569.629,6.501629462383914,0.825,1.218369259606373,3.1818181818181817
2024-08-03 17:00:00,17,37,0,7,28,2,0,8,24,0,24,0,43.1,315.5,4.0,10.67,92.5,1.8125,624.049,5.250616783606475,0.925,0.7497656982193065,3.135135135135135
2024-08-03 18:00:00,18,35,0,8,27,0,0,8,23,0,23,0,44.1,346.0,4.0,10.67,87.5,1.661764705882353,611.999,5.245672111393761,0.875,0.7497656982193065,3.2285714285714286
2024-08-03 19:00:00,19,43,0,8,34,1,0,14,25,0,25,0,45.1,357.0,4.0,10.67,107.5,2.2666666666666666,661.599,7.549865957585928,1.075,1.3120899718837864,3.1627906976744184
