ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2020-04-01 00:00:00,0,10,0,1,6,1,2,3,4,0,4,0,5.8,177.5,3.0,8.18,25.0,0.2407407407407407,87.762,1.6035452322738388,0.25,0.3667481662591687,2.6
2020-04-01 01:00:00,1,11,0,1,7,1,2,3,4,0,4,0,6.8,237.5,3.0,8.18,27.500000000000004,0.2685185185185185,95.547,1.6918815292287177,0.275,0.3667481662591687,2.636363636363636
2020-04-01 02:00:00,2,14,0,1,10,1,2,3,4,0,4,0,7.8,297.5,3.0,8.18,35.0,0.3518518518518518,107.622,1.945459308417744,0.35,0.3667481662591687,2.7142857142857144
2020-04-01 03:00:00,3,17,0,1,13,1,2,5,6,0,6,0,8.8,295.0,3.0,8.18,42.5,0.4607843137254901,146.497,2.86491802099813,0.425,0.6112469437652812,2.764705882352941
2020-04-01 04:00:00,4,16,0,1,12,1,2,0,6,0,6,0,9.8,355.0,3.0,8.18,40.0,0.4313725490196078,149.992,1.1,0.4,0.0,2.75
2020-04-01 05:00:00,5,17,0,1,12,1,3,2,7,0,7,0,10.8,395.0,3.0,8.18,42.5,0.4545454545454545,171.177,1.7722026463397096,0.425,0.2444987775061124,2.647058823529412
2020-04-01 06:00:00,6,12,0,1,10,1,0,0,7,0,7,0,11.8,455.0,3.0,8.18,30.0,0.3636363636363636,166.09199999999998,0.8999999999999999,0.3,0.0,3.0
2020-04-01 07:00:00,7,12,0,1,10,1,0,1,7,0,7,0,12.8,515.0,3.0,8.18,30.0,0.3636363636363636,171.73199999999997,1.2667481662591686,0.3,0.1222493887530562,3.0
2020-04-01 08:00:00,8,14,0,1,12,1,0,5,7,0,7,0,13.8,575.0,3.0,7.74,35.0,0.4242424242424242,181.662,2.9879844961240307,0.35,0.6459948320413437,3.0
2020-04-01 09:00:00,9,14,0,0,11,3,0,6,3,0,3,0,14.8,760.0,3.0,7.74,35.0,0.3513513513513513,133.702,3.134468438538206,0.35,0.7751937984496123,2.7857142857142856
2020-04-01 10:00:00,10,16,1,1,11,3,0,6,4,0,4,0,15.8,239.0,4.0,11.0,40.0,0.3333333333333333,157.03199999999998,2.8363636363636364,0.4,0.5454545454545454,3.0
2020-04-01 11:00:00,11,15,1,1,11,2,0,4,4,0,4,0,8.933333333333334,71.5,4.0,11.0,37.5,0.3194444444444444,116.159,2.265151515151515,0.375,0.3636363636363636,3.066666666666667
2020-04-01 12:00:00,12,18,1,3,11,3,0,7,3,0,3,0,4.483333333333333,72.0,4.0,11.0,45.0,0.3783783783783784,84.096,3.37979797979798,0.45,0.6363636363636364,3.111111111111111
2020-04-01 13:00:00,13,11,1,1,8,1,0,2,3,0,3,0,5.483333333333333,132.0,4.0,11.0,27.500000000000004,0.2364864864864864,74.721,1.453512396694215,0.275,0.1818181818181818,3.1818181818181817
2020-04-01 14:00:00,14,14,0,1,11,2,0,7,5,0,5,0,6.483333333333333,46.0,4.0,11.0,35.0,0.2928571428571428,113.596,2.8886363636363632,0.35,0.6363636363636364,2.9285714285714284
2020-04-01 15:00:00,15,12,0,2,8,2,0,2,5,0,5,0,6.7,101.0,4.0,11.0,30.0,0.2571428571428571,110.528,1.445454545454545,0.3,0.1818181818181818,3.0
2020-04-01 16:00:00,16,12,0,1,9,2,0,6,3,0,3,0,7.7,147.0,4.0,11.0,30.0,0.2364864864864864,89.368,2.465909090909091,0.3,0.5454545454545454,2.9166666666666665
2020-04-01 17:00:00,17,15,1,2,12,0,0,8,2,1,3,1,8.7,44.0,4.0,11.0,37.5,0.3310810810810811,102.3113068017366,3.600757575757576,0.375,0.7272727272727273,3.2666666666666666
2020-04-01 18:00:00,18,13,1,1,10,0,1,8,3,1,4,1,5.783333333333333,63.0,4.0,11.0,32.5,0.2777777777777778,94.9713068017366,3.237762237762238,0.325,0.7272727272727273,3.076923076923077
2020-04-01 19:00:00,19,14,1,2,10,0,1,4,5,1,6,1,6.783333333333333,92.5,4.0,11.0,35.0,0.3235294117647059,129.5563068017366,2.242857142857143,0.35,0.3636363636363636,3.142857142857143
2020-04-01 20:00:00,20,11,1,2,7,1,0,6,4,1,5,1,3.733333333333333,84.0,4.0,9.61,27.500000000000004,0.2571428571428571,92.51930680173662,2.94332608078706,0.275,0.6243496357960459,3.272727272727273
2020-04-01 21:00:00,21,14,1,4,8,1,0,7,4,1,5,1,4.733333333333333,81.0,4.0,9.61,35.0,0.3357142857142857,104.5943068017366,3.6203694068678463,0.35,0.7284079084287202,3.357142857142857
2020-04-01 22:00:00,22,12,1,2,7,2,0,5,3,1,4,1,5.733333333333333,102.0,3.0,6.35,30.0,0.3518518518518518,92.5443068017366,3.4434383202099736,0.3,0.7874015748031497,3.1666666666666665
2020-04-01 23:00:00,23,11,1,2,6,2,0,5,2,1,3,1,3.1666666666666665,89.0,3.0,6.35,27.500000000000004,0.3153153153153153,62.52330680173661,3.3803686471009304,0.275,0.7874015748031497,3.1818181818181817
2020-04-02 00:00:00,0,19,1,3,12,3,0,11,3,1,4,1,3.966666666666667,45.5,3.0,6.35,47.5,0.5462962962962963,97.5953068017366,6.854196021549938,0.475,1.7322834645669292,3.1052631578947367
2020-04-02 01:00:00,1,13,1,3,7,2,0,1,2,1,3,1,4.966666666666667,130.0,3.0,6.35,32.5,0.3783783783783784,76.96530680173662,1.5587825560266506,0.325,0.1574803149606299,3.230769230769231
2020-04-02 02:00:00,2,9,1,2,5,1,0,1,2,1,3,1,4.483333333333333,190.0,3.0,6.35,22.5,0.2702702702702703,65.65930680173662,1.2749343832020998,0.225,0.1574803149606299,3.333333333333333
2020-04-02 03:00:00,3,10,1,2,6,1,0,1,2,1,3,1,5.483333333333333,250.0,3.0,6.35,25.0,0.2972972972972973,73.44430680173662,1.3446850393700789,0.25,0.1574803149606299,3.3
2020-04-02 04:00:00,4,9,1,2,5,1,0,2,2,1,3,1,6.483333333333333,310.0,3.0,6.35,22.5,0.2702702702702703,76.93930680173662,1.7998687664041997,0.225,0.3149606299212598,3.333333333333333
2020-04-02 05:00:00,5,8,1,2,4,1,0,0,2,1,3,1,7.483333333333333,370.0,3.0,6.35,20.0,0.2432432432432432,80.43430680173661,0.675,0.2,0.0,3.375
2020-04-02 06:00:00,6,5,0,1,3,1,0,0,2,0,2,0,8.483333333333333,437.5,3.0,6.35,12.5,0.131578947368421,65.37099999999998,0.375,0.125,0.0,3.0
2020-04-02 07:00:00,7,5,0,1,3,1,0,2,2,0,2,0,9.483333333333333,497.5,3.0,6.35,12.5,0.131578947368421,71.011,1.3198818897637796,0.125,0.3149606299212598,3.0
2020-04-02 08:00:00,8,6,0,2,4,0,0,3,1,0,1,0,10.483333333333333,629.0,3.0,6.66,15.0,0.1709401709401709,65.39599999999999,2.0015015015015014,0.15,0.4504504504504504,3.333333333333333
2020-04-02 09:00:00,9,5,0,1,4,0,0,1,0,0,0,0,10.333333333333334,0.0,3.0,6.66,12.5,0.1333333333333333,49.005,0.8804804804804806,0.125,0.1501501501501501,3.2
2020-04-02 10:00:00,10,7,0,2,5,0,0,6,2,0,2,0,11.333333333333334,19.5,4.0,9.92,17.5,0.1513157894736842,85.735,2.562327188940092,0.175,0.6048387096774194,3.2857142857142856
2020-04-02 11:00:00,11,9,0,1,7,1,0,5,0,0,0,0,12.333333333333334,0.0,4.0,9.92,22.5,0.16875,68.86500000000001,2.1870967741935483,0.225,0.5040322580645161,3.0
