ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2021-03-01 00:00:00,0,29,1,9,19,0,0,11,9,3,12,3,8.183333333333334,134.0,3.0,6.66,72.5,1.1666666666666667,251.76392040520983,8.031443512477995,0.725,1.6516516516516515,3.3793103448275863
2021-03-01 01:00:00,1,33,1,9,21,1,1,7,10,3,13,3,9.183333333333334,191.0,3.0,6.66,82.5,1.3209876543209875,279.38392040520984,6.082953407953408,0.825,1.0510510510510511,3.242424242424242
2021-03-01 02:00:00,2,33,0,8,23,1,1,6,13,0,13,0,10.183333333333334,186.0,3.0,6.66,82.5,1.2839506172839503,282.419,5.439202839202839,0.825,0.9009009009009008,3.1515151515151514
2021-03-01 03:00:00,3,33,0,8,24,0,1,4,13,0,13,0,11.183333333333334,246.0,3.0,6.66,82.5,1.2962962962962965,288.059,4.536001911001911,0.825,0.6006006006006006,3.1818181818181817
2021-03-01 04:00:00,4,27,0,8,18,0,1,4,13,0,13,0,12.183333333333334,306.0,3.0,6.66,67.5,1.0740740740740742,280.829,4.110268601935269,0.675,0.6006006006006006,3.2222222222222223
2021-03-01 05:00:00,5,23,0,7,15,0,1,0,13,0,13,0,13.183333333333334,366.0,3.0,6.66,57.49999999999999,0.9135802469135802,277.889,1.85,0.575,0.0,3.217391304347826
2021-03-01 06:00:00,6,24,0,7,16,0,1,3,13,0,13,0,14.183333333333334,426.0,3.0,6.66,60.0,0.9506172839506172,285.674,3.370195195195195,0.6,0.4504504504504504,3.208333333333333
2021-03-01 07:00:00,7,26,0,8,17,0,1,5,15,0,15,0,11.666666666666666,463.0,3.0,6.66,65.0,1.12,302.57,4.525502425502426,0.65,0.7507507507507507,3.230769230769231
2021-03-01 08:00:00,8,26,0,8,17,0,1,3,15,1,16,1,12.35,476.0,3.0,6.29,65.0,1.1666666666666667,320.6923068017366,3.640907423260365,0.65,0.4769475357710652,3.230769230769231
2021-03-01 09:00:00,9,22,0,4,16,1,1,7,7,1,8,1,13.35,594.5,3.0,6.29,55.00000000000001,0.6979166666666666,210.55230680173665,5.064218095100448,0.55,1.1128775834658189,3.0454545454545454
2021-03-01 10:00:00,10,23,0,3,18,1,1,7,6,1,7,1,14.35,140.0,4.0,9.75,57.49999999999999,0.5227272727272727,204.9373068017366,3.8788461538461534,0.575,0.717948717948718,3.0
2021-03-01 11:00:00,11,24,0,4,18,1,1,9,6,3,9,3,14.133333333333333,95.0,4.0,9.75,60.0,0.5887096774193549,234.39692040520984,4.632692307692307,0.6,0.9230769230769232,3.0416666666666665
2021-03-01 12:00:00,12,26,0,5,21,0,0,6,7,3,10,3,15.133333333333333,126.5,4.0,9.75,65.0,0.6916666666666667,257.72692040520985,4.039497041420119,0.65,0.6153846153846154,3.1923076923076925
2021-03-01 13:00:00,13,26,1,6,19,0,0,9,11,3,14,3,6.516666666666667,99.0,4.0,9.75,65.0,0.8269230769230769,262.72892040520986,5.2032544378698224,0.65,0.9230769230769232,3.3076923076923075
2021-03-01 14:00:00,14,27,0,8,19,0,0,7,9,4,13,4,6.333333333333333,144.0,4.0,9.75,67.5,0.8240740740740741,251.30822720694647,4.591571699905033,0.675,0.717948717948718,3.2962962962962963
2021-03-01 15:00:00,15,23,0,5,17,1,0,5,9,3,12,3,5.583333333333333,163.0,4.0,9.75,57.49999999999999,0.6517857142857143,224.22992040520984,3.452647714604236,0.575,0.5128205128205128,3.1739130434782608
2021-03-01 16:00:00,16,24,0,4,19,1,0,7,9,2,11,2,6.583333333333333,219.0,4.0,9.75,60.0,0.646551724137931,217.74661360347324,4.118589743589744,0.6,0.717948717948718,3.125
2021-03-01 17:00:00,17,23,0,4,18,1,0,4,11,1,12,1,7.583333333333333,227.0,4.0,9.75,57.49999999999999,0.6428571428571429,233.77330680173665,3.0842809364548494,0.575,0.4102564102564102,3.130434782608696
2021-03-01 18:00:00,18,21,0,4,16,1,0,6,9,2,11,2,8.583333333333334,243.0,4.0,9.75,52.5,0.5689655172413793,222.59161360347323,3.5840659340659338,0.525,0.6153846153846154,3.142857142857143
2021-03-01 19:00:00,19,21,0,4,16,1,0,4,9,2,11,2,9.583333333333334,297.0,4.0,9.75,52.5,0.5689655172413793,228.23161360347325,2.939377289377289,0.525,0.4102564102564102,3.142857142857143
2021-03-01 20:00:00,20,15,0,3,11,1,0,3,6,2,8,2,10.583333333333334,282.5,4.0,11.489999999999998,37.5,0.3671875,180.80161360347324,1.9931026979982596,0.375,0.2610966057441253,3.1333333333333333
2021-03-01 21:00:00,21,16,0,3,12,1,0,7,3,2,5,2,11.583333333333334,417.0,4.0,11.489999999999998,40.0,0.3571428571428571,148.38661360347322,3.153829416884248,0.4,0.6092254134029592,3.125
2021-03-01 22:00:00,22,26,1,5,19,1,0,15,6,2,8,2,12.583333333333334,104.0,3.0,8.03,65.0,0.875,215.6766136034732,8.135060829581379,0.65,1.8679950186799503,3.230769230769231
2021-03-01 23:00:00,23,28,0,5,21,2,0,11,6,3,9,3,13.583333333333334,104.0,3.0,8.03,70.0,0.935483870967742,239.87492040520985,6.431360078277888,0.7,1.3698630136986305,3.107142857142857
2021-03-02 00:00:00,0,32,0,6,24,2,0,9,8,3,11,3,10.05,130.0,3.0,8.03,80.0,1.1494252873563218,255.32692040520988,6.002490660024907,0.8,1.1207970112079702,3.125
2021-03-02 01:00:00,1,33,0,6,24,2,1,9,8,3,11,3,11.05,190.0,3.0,8.03,82.5,1.160919540229885,263.11192040520984,5.955318125212272,0.825,1.1207970112079702,3.060606060606061
2021-03-02 02:00:00,2,33,1,5,24,2,1,8,8,3,11,3,12.05,250.0,3.0,8.03,82.5,1.1724137931034482,268.75192040520983,5.62936148533907,0.825,0.9962640099626402,3.090909090909091
2021-03-02 03:00:00,3,29,1,6,20,1,1,3,8,3,11,3,13.05,310.0,3.0,8.03,72.5,1.057471264367816,265.8119204052099,3.4852106325417616,0.725,0.3735990037359901,3.1724137931034484
2021-03-02 04:00:00,4,26,1,6,17,1,1,1,8,3,11,3,14.05,370.0,3.0,8.03,65.0,0.9540229885057472,265.0169204052099,2.472547657821631,0.65,0.12453300124533,3.1923076923076925
2021-03-02 05:00:00,5,25,1,6,16,1,1,2,8,3,11,3,15.05,430.0,3.0,8.03,62.5,0.9195402298850576,268.5119204052098,2.797011207970112,0.625,0.24906600249066,3.2
2021-03-02 06:00:00,6,21,0,6,13,1,1,0,8,3,11,3,16.05,490.0,3.0,8.03,52.5,0.7586206896551724,265.5719204052098,1.65,0.525,0.0,3.142857142857143
