ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2020-02-01 00:00:00,0,27,0,14,12,1,0,5,12,2,14,2,26.566666666666663,156.5,3.0,6.65,67.5,1.205128205128205,377.0876136034732,4.9676552492341965,0.675,0.7518796992481203,3.4814814814814814
2020-02-01 01:00:00,1,34,0,14,19,1,0,9,14,2,16,2,27.566666666666663,211.0,3.0,6.65,85.0,1.5972222222222223,424.5426136034732,7.452620521892967,0.85,1.3533834586466165,3.3823529411764706
2020-02-01 02:00:00,2,30,0,13,15,2,0,4,14,1,15,1,28.566666666666663,272.0,3.0,6.65,75.0,1.346666666666667,407.3343068017366,4.550062656641604,0.75,0.6015037593984962,3.3666666666666667
2020-02-01 03:00:00,3,30,0,12,17,1,0,3,14,1,15,1,29.566666666666663,332.0,3.0,6.65,75.0,1.346666666666667,412.9743068017366,4.043796992481203,0.75,0.4511278195488721,3.3666666666666667
2020-02-01 04:00:00,4,32,0,10,21,1,0,6,14,1,15,1,30.566666666666663,392.0,3.0,6.65,80.0,1.4,422.9043068017365,5.5855263157894735,0.8,0.9022556390977444,3.28125
2020-02-01 05:00:00,5,27,0,11,15,1,0,3,14,1,15,1,31.566666666666663,452.0,3.0,6.65,67.5,1.2133333333333334,417.8193068017366,3.79546783625731,0.675,0.4511278195488721,3.3703703703703702
2020-02-01 06:00:00,6,28,0,11,16,1,0,4,15,1,16,1,32.56666666666667,511.0,3.0,6.65,70.0,1.3055555555555556,439.0043068017367,4.369334049409237,0.7,0.6015037593984962,3.357142857142857
2020-02-01 07:00:00,7,25,0,12,12,1,0,2,16,1,17,1,33.56666666666667,570.0,3.0,6.65,62.5,1.2463768115942029,451.6093068017366,3.1845864661654133,0.625,0.3007518796992481,3.44
2020-02-01 08:00:00,8,28,0,11,16,1,0,5,16,1,17,1,34.56666666666667,630.0,3.0,7.76,70.0,1.3623188405797102,463.6843068017366,4.513107511045656,0.7,0.6443298969072165,3.357142857142857
2020-02-01 09:00:00,9,24,0,9,15,0,0,6,14,1,15,1,35.56666666666667,600.0,3.0,7.76,60.0,1.08,433.9443068017366,4.634536082474227,0.6,0.7731958762886598,3.375
2020-02-01 10:00:00,10,25,0,6,19,0,0,9,9,2,11,2,36.56666666666667,118.0,4.0,11.01,62.5,0.6982758620689655,388.99761360347327,4.673501362397821,0.625,0.8174386920980926,3.24
2020-02-01 11:00:00,11,27,1,4,21,1,0,13,10,2,12,2,21.75,131.0,4.0,11.01,67.5,0.7678571428571429,323.1216136034732,5.910890772698221,0.675,1.1807447774750228,3.185185185185185
