ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2020-12-01 00:00:00,0,17,0,4,12,1,0,6,4,0,4,0,98.65,681.5,3.0,7.46,42.5,0.5,626.451,3.9048020816905846,0.425,0.8042895442359249,3.176470588235294
2020-12-01 01:00:00,1,15,0,4,10,1,0,1,4,0,4,0,99.65,741.5,3.0,7.46,37.5,0.4444444444444444,627.8009999999999,1.628954423592493,0.375,0.1340482573726541,3.2
2020-12-01 02:00:00,2,15,0,3,11,1,0,6,5,0,5,0,100.65,232.0,3.0,7.46,37.5,0.4476190476190476,646.841,3.6951072386058974,0.375,0.8042895442359249,3.1333333333333333
2020-12-01 03:00:00,3,16,0,4,11,1,0,5,5,1,6,1,101.65,270.0,3.0,7.46,40.0,0.5,668.8943068017367,3.411394101876675,0.4,0.6702412868632708,3.1875
2020-12-01 04:00:00,4,14,0,3,10,1,0,2,5,0,5,0,102.65,352.0,3.0,7.46,35.0,0.419047619047619,655.976,1.9425890463423976,0.35,0.2680965147453083,3.142857142857143
2020-12-01 05:00:00,5,14,0,4,9,1,0,1,5,0,5,0,103.65,412.0,3.0,7.46,35.0,0.4285714285714285,661.616,1.555869398697817,0.35,0.1340482573726541,3.2142857142857144
2020-12-01 06:00:00,6,15,0,4,10,1,0,2,5,0,5,0,104.65,472.0,3.0,7.46,37.5,0.4571428571428571,669.401,2.0579088471849865,0.375,0.2680965147453083,3.2
2020-12-01 07:00:00,7,14,0,5,8,1,0,2,6,0,6,0,105.65,510.0,3.0,7.46,35.0,0.4509803921568627,686.296,2.0308885484488703,0.35,0.2680965147453083,3.2857142857142856
2020-12-01 08:00:00,8,15,0,5,9,1,0,3,7,0,7,0,106.65,548.0,3.0,6.72,37.5,0.494949494949495,707.481,2.683333333333333,0.375,0.4464285714285714,3.2666666666666666
2020-12-01 09:00:00,9,20,0,7,12,1,0,5,8,0,8,0,107.65,514.0,3.0,6.72,50.0,0.6875,737.246,4.105357142857143,0.5,0.7440476190476191,3.3
2020-12-01 10:00:00,10,17,0,7,9,1,0,3,9,0,9,0,108.65,480.0,4.0,9.97,42.5,0.4596774193548387,749.8509999999999,2.433909080181722,0.425,0.3009027081243731,3.3529411764705883
2020-12-01 11:00:00,11,20,0,6,14,0,0,7,13,0,13,0,109.65,190.0,4.0,9.97,50.0,0.6111111111111112,815.5260000000001,3.9669508525576735,0.5,0.7021063189568707,3.3
2020-12-01 12:00:00,12,22,0,8,14,0,0,4,14,0,14,0,110.65,233.5,4.0,9.97,55.00000000000001,0.7115384615384616,838.856,3.1995030546184013,0.55,0.4012036108324975,3.363636363636364
2020-12-01 13:00:00,13,29,0,11,18,0,0,11,17,0,17,0,111.65,197.0,4.0,9.97,72.5,1.065217391304348,899.711,6.17842665928821,0.725,1.1033099297893685,3.3793103448275863
2020-12-01 14:00:00,14,29,0,12,17,0,0,6,16,1,17,1,112.65,200.0,4.0,9.97,72.5,1.076086956521739,906.2193068017366,4.529439179607789,0.725,0.6018054162487463,3.413793103448276
2020-12-01 15:00:00,15,29,0,12,16,1,0,5,15,1,16,1,113.65,229.5,4.0,9.97,72.5,1.0208333333333333,898.4593068017366,4.14473939058555,0.725,0.501504513540622,3.3793103448275863
2020-12-01 16:00:00,16,26,0,10,16,0,0,4,15,0,15,0,114.65,204.0,4.0,9.97,65.0,0.88,883.396,3.557919913586915,0.65,0.4012036108324975,3.3846153846153846
2020-12-01 17:00:00,17,27,0,10,17,0,0,7,14,2,16,2,115.65,182.5,4.0,9.97,67.5,0.9479166666666666,906.3176136034732,4.641358334262045,0.675,0.7021063189568707,3.3703703703703702
2020-12-01 18:00:00,18,29,0,11,18,0,0,7,15,3,18,3,116.65,154.5,4.0,9.97,72.5,1.1136363636363635,943.9159204052098,4.82263514681977,0.725,0.7021063189568707,3.3793103448275863
2020-12-01 19:00:00,19,22,0,9,13,0,0,1,11,3,14,3,117.65,149.0,4.0,9.97,55.00000000000001,0.7211538461538461,880.9409204052099,2.216934895595879,0.55,0.1003009027081243,3.409090909090909
