ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2021-09-01 00:00:00,0,24,1,4,19,0,0,4,12,2,14,2,25.866666666666667,298.5,3.0,6.55,60.0,1.0,366.70461360347326,3.934732824427481,0.6,0.6106870229007634,3.25
2021-09-01 01:00:00,1,21,1,4,15,1,0,3,13,2,15,2,26.866666666666667,345.0,3.0,6.55,52.5,0.9066666666666666,379.3096136034732,3.18309705561614,0.525,0.4580152671755725,3.238095238095238
2021-09-01 02:00:00,2,25,1,5,17,2,0,5,13,2,15,2,27.866666666666667,405.0,3.0,6.55,62.5,1.0666666666666669,393.5296136034733,4.442748091603053,0.625,0.7633587786259542,3.2
2021-09-01 03:00:00,3,22,1,5,16,0,0,1,13,1,14,1,28.866666666666667,478.5,3.0,6.55,55.00000000000001,0.935897435897436,378.4663068017366,2.3315926439972245,0.55,0.1526717557251908,3.3181818181818183
2021-09-01 04:00:00,4,21,1,4,16,0,0,2,14,0,14,0,29.866666666666667,538.5,3.0,6.55,52.5,0.8846153846153846,381.093,2.7282715376226823,0.525,0.3053435114503817,3.2857142857142856
2021-09-01 05:00:00,5,21,1,4,16,0,0,2,14,0,14,0,30.866666666666667,598.5,3.0,6.55,52.5,0.8846153846153846,386.733,2.7282715376226823,0.525,0.3053435114503817,3.2857142857142856
2021-09-01 06:00:00,6,22,1,4,17,0,0,1,14,0,14,0,31.866666666666667,658.5,3.0,6.55,55.00000000000001,0.9230769230769232,394.518,2.299653018736989,0.55,0.1526717557251908,3.272727272727273
2021-09-01 07:00:00,7,22,1,4,17,0,0,1,14,0,14,0,32.86666666666667,718.5,3.0,6.55,55.00000000000001,0.9230769230769232,400.158,2.299653018736989,0.55,0.1526717557251908,3.272727272727273
2021-09-01 08:00:00,8,24,1,3,20,0,0,5,16,0,16,0,33.86666666666667,748.5,3.0,7.31,60.0,1.0694444444444444,436.888,4.119482444140447,0.6,0.6839945280437756,3.208333333333333
2021-09-01 09:00:00,9,26,1,4,20,1,0,6,14,0,14,0,34.86666666666667,802.5,3.0,7.31,65.0,1.064102564102564,420.018,4.695225192044618,0.65,0.8207934336525308,3.1923076923076925
