ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2020-09-01 00:00:00,0,13,0,2,10,1,0,2,3,0,3,0,16.05,134.0,3.0,7.68,32.5,0.3603603603603603,138.60700000000003,1.8012820512820515,0.325,0.2604166666666667,3.076923076923077
2020-09-01 01:00:00,1,13,0,2,9,2,0,5,4,0,4,0,17.05,181.5,3.0,7.68,32.5,0.3611111111111111,157.647,2.928125,0.325,0.6510416666666667,3.0
2020-09-01 02:00:00,2,14,0,2,10,2,0,3,4,0,4,0,18.05,241.5,3.0,7.68,35.0,0.3888888888888889,165.432,2.221875,0.35,0.390625,3.0
2020-09-01 03:00:00,3,15,0,2,11,2,0,3,5,0,5,0,19.05,289.0,3.0,7.68,37.5,0.4285714285714285,186.617,2.296875,0.375,0.390625,3.0
2020-09-01 04:00:00,4,13,0,2,10,1,0,0,5,0,5,0,20.05,349.0,3.0,7.68,32.5,0.3809523809523809,187.967,1.0,0.325,0.0,3.076923076923077
2020-09-01 05:00:00,5,14,0,3,10,1,0,1,5,1,6,1,21.05,335.5,3.0,7.68,35.0,0.4313725490196078,210.0203068017366,1.5092261904761906,0.35,0.1302083333333333,3.142857142857143
2020-09-01 06:00:00,6,19,1,4,14,0,0,7,5,2,7,2,22.05,322.0,3.0,7.68,47.5,0.6363636363636364,240.6536136034732,4.597203947368421,0.475,0.9114583333333334,3.3157894736842106
2020-09-01 07:00:00,7,21,1,4,16,0,0,6,5,2,7,2,23.05,382.0,3.0,7.68,52.5,0.696969696969697,250.5836136034732,4.291964285714285,0.525,0.78125,3.2857142857142856
2020-09-01 08:00:00,8,17,0,4,13,0,0,2,6,2,8,2,24.05,374.0,3.0,6.8,42.5,0.5729166666666666,261.0436136034732,2.3265570934256057,0.425,0.2941176470588235,3.235294117647059
2020-09-01 09:00:00,9,16,0,3,13,0,0,5,5,1,6,1,25.05,575.5,3.0,6.8,40.0,0.5,236.8703068017366,3.61875,0.4,0.7352941176470589,3.1875
2020-09-01 10:00:00,10,19,0,2,17,0,0,9,5,1,6,1,26.05,411.5,4.0,10.5,47.5,0.4338235294117647,248.9453068017366,4.136654135338346,0.475,0.8571428571428571,3.1052631578947367
2020-09-01 11:00:00,11,14,0,3,11,0,0,2,3,2,5,2,27.05,230.0,4.0,10.5,35.0,0.3214285714285714,231.3286136034732,1.7372448979591837,0.35,0.1904761904761904,3.2142857142857144
2020-09-01 12:00:00,12,20,0,5,15,0,0,9,7,1,8,1,28.05,55.0,4.0,10.5,50.0,0.5078125,289.1703068017366,4.410714285714286,0.5,0.8571428571428571,3.25
2020-09-01 13:00:00,13,24,0,7,17,0,0,7,7,2,9,2,29.05,74.0,4.0,10.5,60.0,0.6370967741935484,317.6586136034732,4.169444444444444,0.6,0.6666666666666666,3.2916666666666665
2020-09-01 14:00:00,14,22,1,7,14,0,0,6,6,2,8,2,30.05,122.5,4.0,10.5,55.00000000000001,0.5859375,305.60861360347326,3.823051948051948,0.55,0.5714285714285714,3.409090909090909
2020-09-01 15:00:00,15,17,1,6,10,0,0,5,8,1,9,1,31.05,120.0,4.0,10.5,42.5,0.4758064516129032,313.0553068017366,3.1276610644257703,0.425,0.4761904761904761,3.4705882352941178
2020-09-01 16:00:00,16,16,1,5,10,0,0,4,7,0,7,0,32.05,72.0,4.0,10.5,40.0,0.4166666666666667,288.88199999999995,2.6845238095238093,0.4,0.3809523809523809,3.4375
2020-09-01 17:00:00,17,17,1,4,12,0,0,4,9,0,9,0,11.9,122.0,4.0,10.5,42.5,0.4596774193548387,204.181,2.702310924369748,0.425,0.3809523809523809,3.3529411764705883
2020-09-01 18:00:00,18,17,2,2,13,0,0,5,9,0,9,0,12.9,146.0,4.0,10.5,42.5,0.4596774193548387,209.821,3.021638655462185,0.425,0.4761904761904761,3.3529411764705883
2020-09-01 19:00:00,19,13,2,1,10,0,0,3,5,0,5,0,7.866666666666666,165.0,4.0,10.5,32.5,0.3142857142857143,119.253,2.0670329670329672,0.325,0.2857142857142857,3.3846153846153846
2020-09-01 20:00:00,20,19,1,2,15,1,0,12,5,0,5,0,8.866666666666667,155.0,4.0,12.09,47.5,0.4285714285714285,137.763,4.634386835575291,0.475,0.9925558312655088,3.1578947368421053
2020-09-01 21:00:00,21,23,0,3,20,0,0,11,6,0,6,0,9.866666666666667,165.5,4.0,12.09,57.49999999999999,0.5294117647058824,165.383,4.648203689718416,0.575,0.9098428453267164,3.130434782608696
2020-09-01 22:00:00,22,14,0,5,9,0,0,4,5,1,6,1,10.866666666666667,101.0,3.0,8.39,35.0,0.4607843137254901,152.5863068017366,2.7755448663374764,0.35,0.4767580452920142,3.357142857142857
2020-09-01 23:00:00,23,15,0,4,11,0,0,9,5,0,5,0,3.933333333333333,64.0,3.0,8.39,37.5,0.4666666666666667,101.359,4.729171632896304,0.375,1.072705601907032,3.2666666666666666
