ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2022-04-01 00:00:00,0,14,0,4,10,0,0,5,5,1,6,1,4.966666666666667,123.0,3.0,6.38,35.0,0.4509803921568627,119.3103068017366,3.7250111957008505,0.35,0.7836990595611285,3.2857142857142856
2022-04-01 01:00:00,1,13,0,2,10,1,0,4,5,0,5,0,5.966666666666667,203.0,3.0,6.38,32.5,0.3809523809523809,108.537,2.92910537738124,0.325,0.6269592476489029,3.076923076923077
2022-04-01 02:00:00,2,12,0,2,9,1,0,4,5,0,5,0,6.966666666666667,263.0,3.0,6.38,30.0,0.3523809523809524,112.03199999999998,2.8581243469174504,0.3,0.6269592476489029,3.083333333333333
2022-04-01 03:00:00,3,7,0,2,5,0,0,1,5,0,5,0,7.966666666666667,323.0,3.0,6.38,17.5,0.219047619047619,106.947,1.09000223914017,0.175,0.1567398119122257,3.2857142857142856
2022-04-01 04:00:00,4,8,0,3,5,0,0,1,5,0,5,0,8.966666666666667,383.0,3.0,6.38,20.0,0.2571428571428571,114.732,1.2039968652037618,0.2,0.1567398119122257,3.375
2022-04-01 05:00:00,5,10,0,3,7,0,0,2,6,0,6,0,9.966666666666669,423.0,3.0,6.38,25.0,0.3235294117647059,138.062,1.85948275862069,0.25,0.3134796238244514,3.3
2022-04-01 06:00:00,6,10,0,3,7,0,0,0,6,0,6,0,10.966666666666669,483.0,3.0,6.38,25.0,0.3235294117647059,143.702,0.825,0.25,0.0,3.3
2022-04-01 07:00:00,7,10,0,2,8,0,0,3,6,0,6,0,11.966666666666669,543.0,3.0,6.38,25.0,0.3137254901960784,149.34199999999998,2.304702194357367,0.25,0.4702194357366771,3.2
2022-04-01 08:00:00,8,10,0,1,9,0,0,2,6,0,6,0,12.966666666666669,603.0,3.0,8.29,25.0,0.3039215686274509,154.982,1.5228890229191798,0.25,0.241254523522316,3.1
2022-04-01 09:00:00,9,11,0,1,10,0,0,7,5,0,5,0,10.35,27.0,3.0,8.29,27.500000000000004,0.3238095238095238,128.969,3.459935299923237,0.275,0.8443908323281062,3.090909090909091
2022-04-01 10:00:00,10,15,0,2,12,0,1,9,6,0,6,0,7.6,70.0,4.0,11.989999999999998,37.5,0.3308823529411764,135.439,3.3768765638031693,0.375,0.7506255212677232,3.0
2022-04-01 11:00:00,11,18,0,3,15,0,0,6,7,1,8,1,8.6,96.5,4.0,11.989999999999998,45.0,0.4453125,175.18230680173662,3.0096538782318603,0.45,0.5004170141784822,3.1666666666666665
2022-04-01 12:00:00,12,26,0,5,21,0,0,15,9,2,11,2,9.6,89.0,4.0,11.989999999999998,65.0,0.7155172413793104,239.0506136034732,6.068712709309041,0.65,1.2510425354462054,3.1923076923076925
2022-04-01 13:00:00,13,22,0,6,16,0,0,3,8,3,11,3,10.6,145.0,4.0,11.989999999999998,55.00000000000001,0.6206896551724138,236.9789204052098,2.6188642050193347,0.55,0.2502085070892411,3.272727272727273
2022-04-01 14:00:00,14,21,0,5,16,0,0,5,6,2,8,2,11.6,150.5,4.0,11.989999999999998,52.5,0.53125,199.40561360347323,3.050331625560984,0.525,0.4170141784820684,3.238095238095238
2022-04-01 15:00:00,15,25,0,7,18,0,0,9,6,3,9,3,12.6,119.0,4.0,11.989999999999998,62.5,0.6612903225806451,227.89392040520983,4.512051709758132,0.625,0.7506255212677232,3.28
2022-04-01 16:00:00,16,25,0,6,19,0,0,7,7,3,10,3,6.85,97.5,4.0,11.989999999999998,62.5,0.675,208.86392040520985,3.916576313594663,0.625,0.5838198498748958,3.24
2022-04-01 17:00:00,17,21,0,5,16,0,0,4,7,3,10,3,7.85,157.5,4.0,11.989999999999998,52.5,0.5666666666666667,205.92392040520983,2.7802653004487867,0.525,0.3336113427856547,3.238095238095238
2022-04-01 18:00:00,18,26,0,4,21,0,1,8,9,2,11,2,8.85,175.0,4.0,11.989999999999998,65.0,0.6896551724137931,234.8206136034732,4.052992878680953,0.65,0.6672226855713095,3.076923076923077
2022-04-01 19:00:00,19,21,0,4,16,1,0,5,8,1,9,1,8.033333333333333,235.0,4.0,11.989999999999998,52.5,0.532258064516129,191.82130680173665,2.9606159895150723,0.525,0.4170141784820684,3.142857142857143
2022-04-01 20:00:00,20,17,0,3,13,1,0,4,7,0,7,0,9.033333333333331,169.0,4.0,11.13,42.5,0.4015151515151515,161.21299999999997,2.445448179271709,0.425,0.3593890386343217,3.117647058823529
2022-04-01 21:00:00,21,16,0,3,10,3,0,10,6,0,6,0,7.983333333333333,158.0,4.0,11.13,40.0,0.3529411764705882,139.74599999999998,3.895417789757413,0.4,0.8984725965858043,3.0
2022-04-01 22:00:00,22,18,0,3,13,2,0,7,7,1,8,1,5.933333333333334,69.5,3.0,7.43,45.0,0.5729166666666666,160.14230680173662,4.253719904291909,0.45,0.9421265141318976,3.055555555555556
2022-04-01 23:00:00,23,17,0,2,13,2,0,5,6,1,7,1,6.933333333333334,121.0,3.0,7.43,42.5,0.5151515151515151,150.23730680173662,3.293842530282638,0.425,0.6729475100942127,3.0
2022-04-02 00:00:00,0,14,0,1,8,5,0,4,6,1,7,1,7.083333333333333,181.0,3.0,7.43,35.0,0.3838383838383838,144.6483068017366,2.4112574504902904,0.35,0.5383580080753702,2.7142857142857144
2022-04-02 01:00:00,1,13,0,1,9,3,0,5,8,1,9,1,8.083333333333334,233.0,3.0,7.43,32.5,0.3978494623655914,174.9433068017366,2.840312144114298,0.325,0.6729475100942127,2.8461538461538463
2022-04-02 02:00:00,2,13,0,2,7,4,0,4,8,1,9,1,9.083333333333334,268.0,3.0,7.43,32.5,0.3978494623655914,180.58330680173663,2.4572497152914385,0.325,0.5383580080753702,2.8461538461538463
2022-04-02 03:00:00,3,13,0,2,8,3,0,1,8,1,9,1,10.083333333333334,328.0,3.0,7.43,32.5,0.4086021505376344,186.2233068017366,1.3434154674396934,0.325,0.1345895020188425,2.923076923076923
2022-04-02 04:00:00,4,11,0,2,6,3,0,0,7,1,8,1,11.083333333333334,376.5,3.0,7.43,27.500000000000004,0.3333333333333333,174.1733068017366,0.8,0.275,0.0,2.909090909090909
2022-04-02 05:00:00,5,14,0,4,7,3,0,4,8,1,9,1,12.083333333333334,425.0,3.0,7.43,35.0,0.4623655913978494,199.64830680173665,2.7285281676600657,0.35,0.5383580080753702,3.071428571428572
2022-04-02 06:00:00,6,13,0,4,6,3,0,0,8,1,9,1,13.083333333333334,485.0,3.0,7.43,32.5,0.4301075268817204,203.14330680173663,1.0,0.325,0.0,3.076923076923077
2022-04-02 07:00:00,7,15,0,4,7,4,0,3,8,1,9,1,14.083333333333334,545.0,3.0,7.43,37.5,0.4838709677419355,213.07330680173663,2.3363055181695827,0.375,0.4037685060565276,3.0
2022-04-02 08:00:00,8,17,0,4,9,4,0,3,8,1,9,1,15.083333333333334,605.0,3.0,6.66,42.5,0.5483870967741935,223.0033068017366,2.6263513513513512,0.425,0.4504504504504504,3.0
2022-04-02 09:00:00,9,15,0,4,9,2,0,1,7,1,8,1,12.3,524.5,3.0,6.66,37.5,0.4895833333333333,189.6153068017366,1.6454704704704703,0.375,0.1501501501501501,3.1333333333333333
2022-04-02 10:00:00,10,12,0,4,6,2,0,6,4,0,4,0,13.016666666666667,467.0,4.0,9.7,30.0,0.2638888888888889,132.75400000000002,2.908762886597938,0.3,0.6185567010309279,3.1666666666666665
2022-04-02 11:00:00,11,13,0,3,8,2,0,5,3,0,3,0,14.016666666666667,147.0,4.0,9.7,32.5,0.2702702702702703,127.139,2.586042823156226,0.325,0.5154639175257733,3.076923076923077
2022-04-02 12:00:00,12,16,0,3,10,2,1,6,7,0,7,0,15.016666666666667,55.0,4.0,9.7,40.0,0.3560606060606061,192.814,2.99201030927835,0.4,0.6185567010309279,2.9375
2022-04-02 13:00:00,13,20,1,3,14,2,0,8,8,1,9,1,12.366666666666667,106.0,4.0,9.7,50.0,0.5080645161290323,214.11630680173664,4.172938144329898,0.5,0.8247422680412372,3.15
2022-04-02 14:00:00,14,22,1,4,15,2,0,6,5,1,6,1,13.366666666666667,168.5,4.0,9.7,55.00000000000001,0.5147058823529411,183.84630680173663,3.71813495782568,0.55,0.6185567010309279,3.1818181818181817
2022-04-02 15:00:00,15,20,0,4,14,2,0,6,4,0,4,0,8.383333333333333,230.5,4.0,9.7,50.0,0.4305555555555556,123.78199999999998,3.4675257731958764,0.5,0.6185567010309279,3.1
2022-04-02 16:00:00,16,17,0,5,10,1,1,7,4,1,5,1,9.383333333333333,50.0,4.0,9.7,42.5,0.3785714285714285,137.2553068017366,3.574848392965434,0.425,0.7216494845360826,3.117647058823529
2022-04-02 17:00:00,17,23,2,6,13,1,1,13,8,2,10,2,10.383333333333333,74.0,4.0,9.7,57.49999999999999,0.6333333333333333,223.6336136034732,6.328507395786643,0.575,1.3402061855670104,3.3043478260869565
2022-04-02 18:00:00,18,25,3,5,15,1,1,10,7,3,10,3,11.383333333333333,101.5,4.0,9.7,62.5,0.6916666666666667,234.43192040520984,5.497680412371135,0.625,1.0309278350515465,3.32
2022-04-02 19:00:00,19,27,3,7,15,2,0,8,6,4,10,4,12.383333333333333,127.5,4.0,9.7,67.5,0.7666666666666667,245.23022720694644,5.110232913325697,0.675,0.8247422680412372,3.4074074074074074
2022-04-02 20:00:00,20,25,1,7,15,2,0,8,4,3,7,3,13.383333333333333,118.0,4.0,10.35,62.5,0.6212121212121212,205.51192040520985,4.585265700483091,0.625,0.7729468599033815,3.28
2022-04-02 21:00:00,21,29,0,10,17,2,0,14,4,4,8,4,14.383333333333333,138.0,4.0,10.35,72.5,0.7421875,234.00022720694645,6.80611777444611,0.725,1.3526570048309177,3.2758620689655173
2022-04-02 22:00:00,22,31,0,11,16,2,2,6,6,4,10,4,15.383333333333333,117.0,3.0,7.31,77.5,1.0888888888888888,270.73022720694644,5.044766338643484,0.775,0.8207934336525308,3.161290322580645
2022-04-02 23:00:00,23,24,0,7,14,1,2,4,6,2,8,2,9.083333333333334,155.5,3.0,7.31,60.0,0.7708333333333334,191.6466136034732,3.53718650250798,0.6,0.5471956224350205,3.083333333333333
2022-04-03 00:00:00,0,20,0,6,12,1,1,3,5,1,6,1,10.083333333333334,272.5,3.0,7.31,50.0,0.6176470588235294,161.0383068017366,2.867749658002736,0.5,0.4103967168262654,3.15
2022-04-03 01:00:00,1,21,0,6,14,1,0,7,4,0,4,0,9.833333333333334,332.5,3.0,7.31,52.5,0.6296296296296297,134.10500000000002,4.800775193798449,0.525,0.9575923392612858,3.238095238095238
2022-04-03 02:00:00,2,23,0,8,15,0,0,6,5,0,5,0,10.833333333333334,365.0,3.0,7.31,57.49999999999999,0.7333333333333333,157.435,4.672873669184559,0.575,0.8207934336525308,3.347826086956522
2022-04-03 03:00:00,3,25,0,8,17,0,0,4,5,0,5,0,11.833333333333334,425.0,3.0,7.31,62.5,0.7904761904761904,167.365,3.891689466484268,0.625,0.5471956224350205,3.32
2022-04-03 04:00:00,4,25,0,8,17,0,0,1,5,0,5,0,12.833333333333334,485.0,3.0,7.31,62.5,0.7904761904761904,173.005,2.529172366621067,0.625,0.1367989056087551,3.32
2022-04-03 05:00:00,5,24,0,7,17,0,0,3,6,0,6,0,13.833333333333334,503.5,3.0,7.31,60.0,0.7745098039215687,189.9,3.3258891928864567,0.6,0.4103967168262654,3.2916666666666665
2022-04-03 06:00:00,6,23,0,7,16,0,0,0,6,0,6,0,14.833333333333334,563.5,3.0,7.31,57.49999999999999,0.7450980392156863,193.395,1.9,0.575,0.0,3.3043478260869565
2022-04-03 07:00:00,7,18,0,5,13,0,0,0,6,0,6,0,15.833333333333334,623.5,3.0,7.31,45.0,0.5784313725490197,188.31,1.475,0.45,0.0,3.2777777777777777
2022-04-03 08:00:00,8,16,0,4,11,0,1,4,7,0,7,0,16.833333333333332,642.0,3.0,6.96,40.0,0.5050505050505051,203.06,3.045977011494253,0.4,0.5747126436781609,3.125
2022-04-03 09:00:00,9,16,0,3,13,0,0,5,5,0,5,0,17.833333333333332,471.0,3.0,6.96,40.0,0.4857142857142857,181.9,3.5648706896551725,0.4,0.7183908045977011,3.1875
2022-04-03 10:00:00,10,16,0,2,13,1,0,6,5,0,5,0,16.966666666666665,126.0,4.0,10.0,40.0,0.35,177.01199999999997,3.0625,0.4,0.6,3.0625
2022-04-03 11:00:00,11,16,0,2,14,0,0,6,4,0,4,0,13.766666666666667,38.5,4.0,10.0,40.0,0.3472222222222222,145.56400000000002,3.125,0.4,0.6,3.125
2022-04-03 12:00:00,12,21,0,1,20,0,0,13,4,0,4,0,10.9,70.0,4.0,10.0,52.5,0.4444444444444444,140.121,5.561904761904763,0.525,1.3,3.0476190476190474
2022-04-03 13:00:00,13,24,1,2,21,0,0,6,4,0,4,0,11.9,100.0,4.0,10.0,60.0,0.5277777777777778,152.196,3.8,0.6,0.6,3.1666666666666665
2022-04-03 14:00:00,14,27,1,3,22,1,0,15,6,0,6,0,12.9,47.5,4.0,10.0,67.5,0.625,191.071,6.847222222222222,0.675,1.5,3.1481481481481484
2022-04-03 15:00:00,15,23,1,3,18,1,0,11,5,0,5,0,5.716666666666667,105.0,4.0,10.0,57.49999999999999,0.5214285714285715,128.577,5.316304347826087,0.575,1.1,3.1739130434782608
2022-04-03 16:00:00,16,13,1,0,11,1,0,4,2,0,2,0,6.716666666666667,150.5,4.0,10.0,32.5,0.2631578947368421,72.56700000000001,2.2307692307692317,0.325,0.4,3.076923076923077
2022-04-03 17:00:00,17,14,0,1,12,1,0,6,4,1,5,1,7.716666666666667,35.0,4.0,10.0,35.0,0.3,121.4203068017366,2.85,0.35,0.6,3.0
2022-04-03 18:00:00,18,12,1,2,8,1,0,3,4,2,6,2,7.65,68.0,4.0,10.0,30.0,0.2867647058823529,131.02261360347325,1.95,0.3,0.3,3.25
2022-04-03 19:00:00,19,14,0,2,9,1,2,9,6,1,7,1,8.65,94.0,4.0,10.0,35.0,0.2954545454545454,153.4843068017366,3.4821428571428568,0.35,0.9,2.7857142857142856
2022-04-03 20:00:00,20,20,0,1,12,3,4,18,7,0,7,0,9.65,15.0,4.0,9.84,50.0,0.3787878787878788,171.12599999999998,5.823170731707316,0.5,1.829268292682927,2.5
2022-04-03 21:00:00,21,28,0,2,20,2,4,12,7,0,7,0,10.65,72.0,4.0,9.84,70.0,0.5757575757575758,193.926,5.210104529616725,0.7,1.2195121951219512,2.7142857142857144
2022-04-03 22:00:00,22,24,0,4,15,0,5,7,8,0,8,0,11.65,129.5,3.0,6.8,60.0,0.6875,204.386,4.480882352941176,0.6,1.0294117647058825,2.75
2022-04-03 23:00:00,23,23,0,4,16,0,3,11,7,0,7,0,12.65,88.0,3.0,6.8,57.49999999999999,0.6767676767676768,194.481,6.387276214833759,0.575,1.6176470588235294,2.9130434782608696
2022-04-04 00:00:00,0,19,0,4,14,0,1,3,6,1,7,1,13.65,93.0,3.0,6.8,47.5,0.5959595959595959,192.4093068017366,2.844969040247678,0.475,0.4411764705882353,3.1052631578947367
2022-04-04 01:00:00,1,18,0,4,14,0,0,5,4,1,5,1,14.65,143.0,3.0,6.8,45.0,0.5523809523809524,169.10430680173658,3.819281045751634,0.45,0.7352941176470589,3.2222222222222223
2022-04-04 02:00:00,2,21,0,5,16,0,0,6,6,1,7,1,15.65,146.0,3.0,6.8,52.5,0.6868686868686869,207.9793068017366,4.557142857142857,0.525,0.8823529411764706,3.238095238095238
2022-04-04 03:00:00,3,19,0,4,14,1,0,3,6,0,6,0,16.65,226.0,3.0,6.8,47.5,0.5882352941176471,195.061,2.893188854489164,0.475,0.4411764705882353,3.1578947368421053
2022-04-04 04:00:00,4,20,0,4,13,3,0,4,6,0,6,0,17.65,286.0,3.0,6.8,50.0,0.5980392156862745,202.846,3.319117647058824,0.5,0.5882352941176471,3.05
2022-04-04 05:00:00,5,20,0,4,14,1,1,3,6,0,6,0,18.65,346.0,3.0,6.8,50.0,0.5980392156862745,208.486,2.870588235294117,0.5,0.4411764705882353,3.05
2022-04-04 06:00:00,6,25,0,4,19,1,1,5,7,0,7,0,19.65,369.0,3.0,6.8,62.5,0.7676767676767676,238.251,4.135294117647059,0.625,0.7352941176470589,3.04
