ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2021-02-01 00:00:00,0,25,1,3,15,5,1,11,8,0,8,0,7.45,181.5,3.0,7.76,62.5,0.7604166666666666,182.843,5.964175257731959,0.625,1.4175257731958764,2.92
2021-02-01 01:00:00,1,27,1,3,19,3,1,8,10,0,10,0,8.45,212.5,3.0,7.76,67.5,0.9,219.573,5.117783505154639,0.675,1.0309278350515465,3.0
2021-02-01 02:00:00,2,29,1,3,21,3,1,6,10,0,10,0,9.45,272.5,3.0,7.76,72.5,0.9666666666666668,229.503,4.494587628865979,0.725,0.7731958762886598,3.0
2021-02-01 03:00:00,3,25,1,2,18,3,1,1,11,0,11,0,10.45,321.0,3.0,7.76,62.5,0.8505747126436781,239.963,2.231443298969072,0.625,0.1288659793814433,2.96
2021-02-01 04:00:00,4,23,1,2,17,2,1,1,11,0,11,0,11.45,381.0,3.0,7.76,57.49999999999999,0.7931034482758621,241.313,2.11159793814433,0.575,0.1288659793814433,3.0
2021-02-01 05:00:00,5,26,1,3,18,3,1,5,12,0,12,0,12.45,389.5,3.0,7.76,65.0,0.9285714285714286,266.788,3.88298969072165,0.65,0.6443298969072165,3.0
2021-02-01 06:00:00,6,27,1,3,18,4,1,4,13,1,14,1,13.45,380.5,3.0,7.76,67.5,1.0256410256410255,302.2413068017366,3.527300496372662,0.675,0.5154639175257733,2.962962962962963
2021-02-01 07:00:00,7,28,1,3,19,4,1,1,13,1,14,1,14.45,440.5,3.0,7.76,70.0,1.064102564102564,310.0263068017366,2.45699558173785,0.7,0.1288659793814433,2.9642857142857144
2021-02-01 08:00:00,8,23,1,3,17,1,1,1,14,1,15,1,12.866666666666667,483.0,3.0,7.02,57.49999999999999,0.9466666666666668,303.7713068017366,2.2147373962591352,0.575,0.1424501424501424,3.0869565217391304
2021-02-01 09:00:00,9,20,0,4,13,2,1,2,10,1,11,1,13.866666666666667,499.0,3.0,7.02,50.0,0.6896551724137931,249.37630680173663,2.3547008547008543,0.5,0.2849002849002849,3.0
2021-02-01 10:00:00,10,20,0,3,14,2,1,10,8,2,10,2,14.2,194.0,4.0,10.48,50.0,0.4916666666666666,238.72461360347324,4.289885496183207,0.5,0.9541984732824428,2.95
2021-02-01 11:00:00,11,17,0,3,11,2,1,3,7,1,8,1,14.533333333333331,101.5,4.0,10.48,42.5,0.390625,206.5013068017366,2.091939829366861,0.425,0.2862595419847328,2.9411764705882355
2021-02-01 12:00:00,12,19,0,5,13,0,1,7,8,1,9,1,15.533333333333331,128.0,4.0,10.48,47.5,0.4838709677419355,229.83130680173664,3.6092808356769774,0.475,0.6679389312977099,3.1578947368421053
2021-02-01 13:00:00,13,26,0,9,17,0,0,9,13,1,14,1,16.533333333333335,94.0,4.0,10.48,65.0,0.8365384615384616,317.4863068017366,5.048605402231356,0.65,0.8587786259541984,3.3461538461538463
2021-02-01 14:00:00,14,27,0,8,19,0,0,8,11,2,13,2,17.533333333333335,101.0,4.0,10.48,67.5,0.8240740740740741,312.73961360347323,4.741256714729997,0.675,0.7633587786259541,3.2962962962962963
2021-02-01 15:00:00,15,29,0,8,21,0,0,8,10,1,11,1,18.53333333333333,152.0,4.0,10.48,72.5,0.8189655172413793,295.00130680173663,4.8756580679126085,0.725,0.7633587786259541,3.2758620689655173
2021-02-01 16:00:00,16,26,0,9,15,2,0,8,6,2,8,2,15.55,220.5,4.0,10.48,65.0,0.6640625,232.4086136034732,4.620596007046388,0.65,0.7633587786259541,3.269230769230769
2021-02-01 17:00:00,17,26,0,9,16,1,0,6,6,3,9,3,16.55,195.0,4.0,10.48,65.0,0.6935483870967742,252.31692040520983,4.043716970052848,0.65,0.5725190839694656,3.3076923076923075
2021-02-01 18:00:00,18,21,0,7,13,0,1,4,7,4,11,4,17.55,247.0,4.0,10.48,52.5,0.5862068965517241,274.90022720694645,2.935914213013449,0.525,0.381679389312977,3.238095238095238
2021-02-01 19:00:00,19,26,0,7,18,1,0,9,6,3,9,3,18.55,226.0,4.0,10.48,65.0,0.6774193548387096,263.59692040520986,4.874515560775103,0.65,0.8587786259541984,3.230769230769231
2021-02-01 20:00:00,20,29,0,4,25,0,0,14,6,1,7,1,19.55,367.0,4.0,11.22,72.5,0.6893939393939394,247.13530680173665,6.1904219681603045,0.725,1.2477718360071302,3.1379310344827585
2021-02-01 21:00:00,21,25,0,4,20,1,0,7,7,1,8,1,20.55,240.5,4.0,11.22,62.5,0.609375,257.5953068017366,3.8965240641711234,0.625,0.6238859180035651,3.12
2021-02-01 22:00:00,22,18,0,4,13,1,0,7,3,1,4,1,21.55,279.5,3.0,7.76,45.0,0.5277777777777778,194.6203068017366,4.2815292096219935,0.45,0.9020618556701032,3.1666666666666665
2021-02-01 23:00:00,23,20,0,2,16,2,0,8,6,0,6,0,22.55,74.5,3.0,7.76,50.0,0.5882352941176471,230.48200000000003,4.59278350515464,0.5,1.0309278350515465,3.0
