ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2024-04-01 00:00:00,0,43,1,7,26,5,4,12,25,1,26,1,38.73333333333333,540.5,3.0,6.35,107.5,2.9761904761904763,639.9593068017366,8.618499359091743,1.075,1.8897637795275597,2.9069767441860463
2024-04-01 01:00:00,1,40,1,7,27,4,1,9,25,1,26,1,39.73333333333333,600.5,3.0,6.35,100.0,2.9285714285714284,639.1643068017366,7.433267716535434,1.0,1.4173228346456694,3.075
2024-04-01 02:00:00,2,38,2,7,24,4,1,5,27,1,28,1,40.73333333333333,653.5,3.0,6.35,95.0,3.305555555555556,667.3143068017366,5.440810194778285,0.95,0.7874015748031497,3.131578947368421
2024-04-01 03:00:00,3,39,2,8,26,2,1,4,27,1,28,1,41.73333333333333,713.5,3.0,6.35,97.5,3.4722222222222223,675.0993068017366,5.1439783969311526,0.975,0.6299212598425197,3.2051282051282053
2024-04-01 04:00:00,4,38,2,8,26,1,1,3,27,1,28,1,42.73333333333333,773.5,3.0,6.35,95.0,3.4166666666666665,678.5943068017366,4.604216742644012,0.95,0.4724409448818898,3.236842105263158
2024-04-01 05:00:00,5,32,2,8,20,1,1,1,27,0,27,0,43.73333333333333,835.0,3.0,6.35,80.0,2.6923076923076925,657.096,3.1417322834645667,0.8,0.1574803149606299,3.28125
2024-04-01 06:00:00,6,34,2,7,22,2,1,4,27,0,27,0,44.73333333333333,895.0,3.0,6.35,85.0,2.7948717948717947,667.0260000000001,4.744453450671607,0.85,0.6299212598425197,3.2058823529411766
2024-04-01 07:00:00,7,32,2,7,21,1,1,3,27,0,27,0,45.73333333333333,955.0,3.0,6.35,80.0,2.6666666666666665,668.376,4.135433070866142,0.8,0.4724409448818898,3.25
2024-04-01 08:00:00,8,33,2,7,22,1,1,2,27,1,28,1,46.73333333333333,1013.5,3.0,7.61,82.5,2.9722222222222223,690.4293068017366,3.527148289730418,0.825,0.2628120893561104,3.242424242424242
2024-04-01 09:00:00,9,35,2,9,22,1,1,3,26,2,28,2,47.73333333333333,1067.0,3.0,7.61,87.5,3.1944444444444446,701.2276136034732,4.170288154683687,0.875,0.3942181340341655,3.2857142857142856
