ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2022-12-01 00:00:00,0,14,0,6,7,0,1,3,6,1,7,1,10.933333333333334,230.0,3.0,6.4,35.0,0.4646464646464646,166.3623068017366,2.690178571428571,0.35,0.46875,3.2857142857142856
2022-12-01 01:00:00,1,14,0,5,7,1,1,4,6,1,7,1,11.933333333333334,290.0,3.0,6.4,35.0,0.4444444444444444,172.0023068017366,3.064285714285714,0.35,0.625,3.142857142857143
2022-12-01 02:00:00,2,13,0,5,6,1,1,5,8,0,8,0,12.933333333333334,322.0,3.0,6.4,32.5,0.4270833333333333,188.029,3.4889423076923074,0.325,0.78125,3.1538461538461537
2022-12-01 03:00:00,3,12,0,5,5,1,1,1,8,0,8,0,13.933333333333334,382.0,3.0,6.4,30.0,0.3958333333333333,191.524,1.4447916666666665,0.3,0.15625,3.1666666666666665
2022-12-01 04:00:00,4,12,0,5,5,1,1,0,8,0,8,0,14.933333333333334,442.0,3.0,6.4,30.0,0.3958333333333333,197.164,0.95,0.3,0.0,3.1666666666666665
2022-12-01 05:00:00,5,15,0,5,8,1,1,3,8,0,8,0,15.933333333333334,502.0,3.0,6.4,37.5,0.4895833333333333,209.239,2.64375,0.375,0.46875,3.1333333333333333
2022-12-01 06:00:00,6,18,0,5,11,1,1,4,8,0,8,0,16.933333333333334,562.0,3.0,6.4,45.0,0.5833333333333334,221.314,3.344444444444445,0.45,0.625,3.111111111111111
2022-12-01 07:00:00,7,15,0,5,8,1,1,1,8,0,8,0,17.933333333333334,622.0,3.0,6.4,37.5,0.4895833333333333,220.519,1.6645833333333333,0.375,0.15625,3.1333333333333333
2022-12-01 08:00:00,8,21,0,5,14,1,1,7,9,1,10,1,18.933333333333334,565.5,3.0,6.35,52.5,0.7222222222222222,266.6973068017366,5.037073490813649,0.525,1.1023622047244095,3.095238095238096
2022-12-01 09:00:00,9,25,0,6,17,1,1,9,8,1,9,1,17.166666666666668,470.0,3.0,6.35,62.5,0.8387096774193549,251.9133068017366,6.372047244094489,0.625,1.4173228346456694,3.12
2022-12-01 10:00:00,10,24,2,3,17,2,0,8,6,1,7,1,18.166666666666668,124.0,4.0,10.05,60.0,0.5833333333333334,228.60830680173663,4.478897180762853,0.6,0.7960199004975124,3.208333333333333
2022-12-01 11:00:00,11,26,3,4,17,2,0,10,8,1,9,1,19.166666666666668,175.0,4.0,10.05,65.0,0.6935483870967742,265.3383068017366,5.441236127057022,0.65,0.9950248756218903,3.3076923076923075
2022-12-01 12:00:00,12,23,3,5,13,2,0,4,10,0,10,0,20.166666666666668,137.5,4.0,10.05,57.49999999999999,0.65,277.075,3.299772874756651,0.575,0.3980099502487562,3.391304347826087
