ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2024-02-01 00:00:00,0,36,1,5,25,5,0,2,22,2,24,2,31.7,330.5,3.0,6.67,90.0,2.2916666666666665,559.3446136034732,3.6662085623854734,0.9,0.2998500749625187,3.055555555555556
2024-02-01 01:00:00,1,34,1,5,24,4,0,3,22,2,24,2,32.7,390.5,3.0,6.67,85.0,2.1875,560.6946136034733,4.01401137666461,0.85,0.4497751124437781,3.088235294117647
2024-02-01 02:00:00,2,34,1,5,25,3,0,3,23,2,25,2,33.7,444.0,3.0,6.67,85.0,2.355555555555556,579.7346136034732,4.052240056442368,0.85,0.4497751124437781,3.117647058823529
2024-02-01 03:00:00,3,36,2,5,26,3,0,9,23,4,27,4,34.7,500.0,3.0,6.67,90.0,2.923076923076923,618.2012272069464,7.122863568215891,0.9,1.3493253373313343,3.1666666666666665
2024-02-01 04:00:00,4,34,2,5,24,3,0,3,24,3,27,3,35.7,560.0,3.0,6.67,85.0,2.769230769230769,618.6829204052099,4.128697415997883,0.85,0.4497751124437781,3.176470588235294
2024-02-01 05:00:00,5,35,2,5,25,3,0,5,24,3,27,3,36.7,620.0,3.0,6.67,87.5,2.8461538461538463,626.4679204052098,5.152382737202827,0.875,0.7496251874062969,3.1714285714285717
2024-02-01 06:00:00,6,36,2,5,26,3,0,3,25,3,28,3,37.7,677.5,3.0,6.67,90.0,3.1666666666666665,647.6529204052099,4.274287856071964,0.9,0.4497751124437781,3.1666666666666665
2024-02-01 07:00:00,7,39,2,6,27,4,0,6,25,3,28,3,38.7,674.0,3.0,6.67,97.5,3.4166666666666665,659.7279204052098,5.912043016953062,0.975,0.8995502248875562,3.1538461538461537
2024-02-01 08:00:00,8,37,1,8,25,3,0,5,25,3,28,3,39.7,734.0,3.0,6.58,92.5,3.2777777777777777,661.0779204052099,5.373396040417316,0.925,0.7598784194528875,3.189189189189189
2024-02-01 09:00:00,9,35,1,8,22,4,0,2,21,3,24,3,40.7,857.5,3.0,6.58,87.5,2.3125,608.8279204052099,3.738960052105949,0.875,0.303951367781155,3.1714285714285717
