ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2021-07-01 00:00:00,0,17,1,1,13,2,0,3,6,1,7,1,14.416666666666666,534.0,3.0,9.14,42.5,0.5252525252525253,192.44330680173655,2.3039902175312137,0.425,0.3282275711159737,3.0588235294117645
2021-07-01 01:00:00,1,15,1,1,11,2,0,2,8,1,9,1,15.416666666666666,368.0,3.0,9.14,37.5,0.4946236559139785,220.59330680173665,1.8210430342815465,0.375,0.2188183807439825,3.066666666666667
2021-07-01 02:00:00,2,14,0,1,11,2,0,3,8,0,8,0,16.416666666666668,541.0,3.0,9.14,35.0,0.4270833333333333,209.82,1.986237886839637,0.35,0.3282275711159737,2.9285714285714284
2021-07-01 03:00:00,3,14,0,1,11,2,0,2,8,0,8,0,17.416666666666668,601.0,3.0,9.14,35.0,0.4270833333333333,215.46,1.6658252578930914,0.35,0.2188183807439825,2.9285714285714284
2021-07-01 04:00:00,4,15,0,1,12,2,0,1,8,0,8,0,18.416666666666668,661.0,3.0,9.14,37.5,0.4583333333333333,223.245,1.4209336250911742,0.375,0.1094091903719912,2.933333333333333
2021-07-01 05:00:00,5,16,0,1,13,2,0,2,9,0,9,0,19.416666666666668,608.0,3.0,9.14,40.0,0.5053763440860215,244.43,1.817778993435449,0.4,0.2188183807439825,2.9375
2021-07-01 06:00:00,6,16,0,2,12,2,0,3,9,0,9,0,20.416666666666668,668.0,3.0,9.14,40.0,0.5161290322580645,250.07000000000005,2.1846827133479216,0.4,0.3282275711159737,3.0
2021-07-01 07:00:00,7,17,0,3,12,2,0,1,10,0,10,0,21.416666666666668,710.0,3.0,9.14,42.5,0.5777777777777777,271.255,1.6346634058437377,0.425,0.1094091903719912,3.0588235294117645
2021-07-01 08:00:00,8,18,0,1,13,4,0,3,10,0,10,0,22.416666666666668,770.0,3.0,6.779999999999999,45.0,0.5666666666666667,279.04,2.5286873156342184,0.45,0.4424778761061947,2.833333333333333
2021-07-01 09:00:00,9,22,0,4,13,4,1,6,12,0,12,0,23.416666666666668,659.0,3.0,6.779999999999999,55.00000000000001,0.7619047619047619,320.06,4.174416733708769,0.55,0.8849557522123894,2.909090909090909
2021-07-01 10:00:00,10,23,0,7,12,3,1,5,14,0,14,0,22.866666666666667,561.5,4.0,10.03,57.49999999999999,0.6826923076923077,345.903,3.313861675842039,0.575,0.4985044865403789,3.0869565217391304
2021-07-01 11:00:00,11,22,1,7,14,0,0,7,18,0,18,0,23.866666666666667,184.5,4.0,10.03,55.00000000000001,0.8522727272727273,402.9980000000001,4.254225958488172,0.55,0.6979062811565304,3.409090909090909
2021-07-01 12:00:00,12,25,1,7,14,0,3,5,19,0,19,0,24.866666666666667,216.0,4.0,10.03,62.5,0.9285714285714286,428.473,3.5053339980059826,0.625,0.4985044865403789,3.12
2021-07-01 13:00:00,13,27,1,7,16,1,2,9,19,0,19,0,25.866666666666667,276.0,4.0,10.03,67.5,1.011904761904762,438.403,4.949858757062147,0.675,0.897308075772682,3.1481481481481484
