ts,hour,census,l1,l2,l3,l4,l5,arrivals,waitBed,waitICU,D_board,vent,maxLOS_h,awt_curr_min,Na,cap_sum,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR
2021-10-01 00:00:00,0,24,1,3,18,2,0,10,5,3,8,3,16.633333333333333,293.5,3.0,6.13,60.0,0.78125,235.09692040520983,6.972879282218597,0.6,1.6313213703099512,3.125
2021-10-01 01:00:00,1,22,0,3,17,0,2,6,5,1,6,1,17.633333333333333,353.5,3.0,6.13,55.00000000000001,0.6372549019607843,207.91030680173665,4.516887883731277,0.55,0.9787928221859706,2.9545454545454546
2021-10-01 02:00:00,2,20,0,5,14,1,0,3,6,1,7,1,18.633333333333333,397.0,3.0,6.13,50.0,0.6464646464646465,222.6603068017366,3.166068515497553,0.5,0.4893964110929853,3.2
2021-10-01 03:00:00,3,16,0,4,11,1,0,0,6,0,6,0,19.633333333333333,473.5,3.0,6.13,40.0,0.5,205.452,1.275,0.4,0.0,3.1875
2021-10-01 04:00:00,4,17,0,3,13,1,0,2,7,0,7,0,20.633333333333333,517.0,3.0,6.13,42.5,0.5353535353535354,226.637,2.342176854428557,0.425,0.3262642740619902,3.117647058823529
2021-10-01 05:00:00,5,19,0,3,15,1,0,3,8,0,8,0,21.633333333333333,495.5,3.0,6.13,47.5,0.6145833333333334,249.967,2.994704644972954,0.475,0.4893964110929853,3.1052631578947367
2021-10-01 06:00:00,6,22,0,4,17,1,0,4,9,0,9,0,22.633333333333333,474.0,3.0,6.13,55.00000000000001,0.7419354838709677,275.442,3.7715668100252113,0.55,0.6525285481239804,3.136363636363636
2021-10-01 07:00:00,7,21,0,4,16,1,0,0,9,0,9,0,23.633333333333333,534.0,3.0,6.13,52.5,0.7096774193548387,278.937,1.65,0.525,0.0,3.142857142857143
2021-10-01 08:00:00,8,23,0,4,18,1,0,6,10,0,10,0,20.433333333333334,503.0,3.0,8.69,57.49999999999999,0.8,278.57899999999995,3.961404913193576,0.575,0.6904487917146145,3.130434782608696
2021-10-01 09:00:00,9,25,0,4,20,1,0,6,9,0,9,0,21.433333333333334,472.0,3.0,8.69,62.5,0.8387096774193549,275.10900000000004,4.104200230149598,0.625,0.6904487917146145,3.12
2021-10-01 10:00:00,10,29,0,3,25,1,0,9,12,0,12,0,22.433333333333334,292.5,4.0,12.39,72.5,0.7946428571428571,329.529,4.454272772814561,0.725,0.7263922518159805,3.0689655172413794
2021-10-01 11:00:00,11,29,0,1,27,1,0,7,11,0,11,0,17.316666666666666,200.0,4.0,12.39,72.5,0.75,287.271,3.869915254237288,0.725,0.5649717514124294,3.0
2021-10-01 12:00:00,12,29,0,2,27,0,0,8,12,0,12,0,18.316666666666663,216.0,4.0,12.39,72.5,0.7946428571428571,306.311,4.206575798057388,0.725,0.645682001614205,3.0689655172413794
2021-10-01 13:00:00,13,34,0,6,28,0,0,12,14,1,15,1,19.316666666666663,184.0,4.0,12.39,85.0,1.08,363.74430680173657,5.776484831220624,0.85,0.9685230024213076,3.176470588235294
2021-10-01 14:00:00,14,23,0,5,18,0,0,1,13,1,14,1,20.316666666666663,194.0,4.0,12.39,57.49999999999999,0.7115384615384616,332.3893068017366,2.10967645717093,0.575,0.0807102502017756,3.217391304347826
2021-10-01 15:00:00,15,22,1,4,17,0,0,8,11,1,12,1,20.166666666666668,129.0,4.0,12.39,55.00000000000001,0.6428571428571429,302.5983068017366,3.913141096191944,0.55,0.645682001614205,3.272727272727273
2021-10-01 16:00:00,16,23,1,4,18,0,0,6,9,1,10,1,21.166666666666668,154.5,4.0,12.39,57.49999999999999,0.625,283.5833068017366,3.454113590904305,0.575,0.4842615012106537,3.260869565217391
2021-10-01 17:00:00,17,26,1,5,20,0,0,11,12,1,13,1,22.166666666666668,160.0,4.0,12.39,65.0,0.7870370370370371,335.8583068017366,5.027464766871546,0.65,0.8878127522195318,3.269230769230769
2021-10-01 18:00:00,18,27,1,3,23,0,0,7,11,0,11,0,23.166666666666668,213.0,4.0,12.39,67.5,0.7413793103448276,315.975,3.949539652646997,0.675,0.5649717514124294,3.185185185185185
2021-10-01 19:00:00,19,22,1,2,19,0,0,5,7,0,7,0,24.066666666666663,244.0,4.0,12.39,55.00000000000001,0.5303030303030303,256.726,3.034026707755521,0.55,0.4035512510088781,3.1818181818181817
2021-10-01 20:00:00,20,18,2,3,13,0,0,5,8,0,8,0,25.066666666666663,209.5,4.0,10.33,45.0,0.4765625,267.18600000000004,3.165314079810692,0.45,0.484027105517909,3.388888888888889
2021-10-01 21:00:00,21,24,1,3,19,1,0,10,9,0,9,0,26.066666666666663,74.0,4.0,10.33,60.0,0.6129032258064516,299.096,4.965505001613424,0.6,0.968054211035818,3.1666666666666665
2021-10-01 22:00:00,22,24,1,1,21,1,0,8,9,0,9,0,27.066666666666663,117.0,3.0,6.63,60.0,0.7956989247311828,304.736,5.570462543991956,0.6,1.2066365007541475,3.083333333333333
2021-10-01 23:00:00,23,26,1,3,21,1,0,9,9,1,10,1,28.066666666666663,152.0,3.0,6.63,65.0,0.9111111111111112,328.9343068017366,6.331239122868082,0.65,1.3574660633484164,3.1538461538461537
2021-10-02 00:00:00,0,26,1,3,20,2,0,8,9,1,10,1,29.066666666666663,212.0,3.0,6.63,65.0,0.9,334.5743068017366,5.784136790810999,0.65,1.2066365007541475,3.1153846153846154
2021-10-02 01:00:00,1,27,1,5,18,3,0,6,11,1,12,1,30.066666666666663,246.5,3.0,6.63,67.5,1.011904761904762,369.1593068017367,4.97400284900285,0.675,0.9049773755656108,3.1481481481481484
2021-10-02 02:00:00,2,25,1,5,15,4,0,2,12,1,13,1,31.066666666666663,283.0,3.0,6.63,62.5,0.9629629629629628,383.9093068017367,2.891176470588236,0.625,0.3016591251885369,3.12
2021-10-02 03:00:00,3,19,1,3,12,3,0,2,12,0,12,0,32.06666666666667,366.5,3.0,6.63,47.5,0.7023809523809523,362.411,2.4117309676907195,0.475,0.3016591251885369,3.1052631578947367
2021-10-02 04:00:00,4,22,1,3,15,3,0,3,12,0,12,0,33.06666666666667,426.5,3.0,6.63,55.00000000000001,0.8095238095238095,374.486,3.0986013986013985,0.55,0.4524886877828054,3.090909090909091
2021-10-02 05:00:00,5,21,1,3,15,2,0,3,12,0,12,0,34.06666666666667,486.5,3.0,6.63,52.5,0.7857142857142857,377.981,3.072107304460246,0.525,0.4524886877828054,3.142857142857143
2021-10-02 06:00:00,6,21,1,3,15,2,0,2,13,0,13,0,35.06666666666667,523.0,3.0,6.63,52.5,0.8148148148148148,397.021,2.59807153630683,0.525,0.3016591251885369,3.142857142857143
2021-10-02 07:00:00,7,21,1,3,15,2,0,1,13,0,13,0,36.06666666666667,583.0,3.0,6.63,52.5,0.8148148148148148,402.661,2.124035768153415,0.525,0.1508295625942684,3.142857142857143
